ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2018;AM;ALVARÃES;Deputado Estadual;ABDALA;PODE;ELEITO POR QP;1;654;9.93;SIM
2018;AM;ALVARÃES;Deputado Estadual;ADJUTO AFONSO;PDT;ELEITO POR QP;1;0;0.0;SIM
2018;AM;ALVARÃES;Deputado Estadual;ADRIANA MOURA;PROS;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ADRIANE MAGALHAES;PHS;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ADSON SOUZA;PATRI;NÃO ELEITO;1;10;0.15;NAO
2018;AM;ALVARÃES;Deputado Estadual;ADV. ALTANIRA ULCHÔA;MDB;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;AFONSO LINS ;PV;SUPLENTE;1;9;0.14;NAO
2018;AM;ALVARÃES;Deputado Estadual;AIRTON GONÇALVES;PV;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALDENOR MACIEL;PTC;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALESSANDRA CAMPELO;MDB;ELEITO POR QP;1;2;0.03;SIM
2018;AM;ALVARÃES;Deputado Estadual;ALESSANDRO SOUZA;PRTB;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALEXANDRE DA CARBRÁS;AVANTE;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALEXANDRE GOMES;DEM;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALEXANDRE LIMA;PSOL;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALEXIS UCHOA;PSDB;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALICE SOBRAL;REDE;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALISON CASTELO BRANCO;PSC;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ALISSANDRA DOS FEIRANTES;DEM;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;AMARIL SILVA;PSDB;SUPLENTE;1;1;0.02;NAO
2018;AM;ALVARÃES;Deputado Estadual;AMAURI COLARES;PRB;SUPLENTE;1;2;0.03;NAO
2018;AM;ALVARÃES;Deputado Estadual;AMAZONINO ARRUDA;PV;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;AMIGO CELSO;PV;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA CARLOS;PMN;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA CLAUDIA;PT;SUPLENTE;1;16;0.24;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA NEGRAO;PV;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA RAQUEL BANDEIRA;DC;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA RODRIGUES;PC do B;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANA SANTOS;PMN;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDERSON MAIA;PPS;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDRE MARSILIO AMIGO DA BR-319;PHS;SUPLENTE;1;1;0.02;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDREIA TORRES;PR;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDRÉ BONTINELLY;PPS;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDRÉ MARQUES;REDE;NÃO ELEITO;1;2;0.03;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANDRÉ PASSOS;PSC;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANGELA SANTOS;PDT;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANGELO CABEÇA;PRTB;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANGELUS FIGUEIRA;DC;SUPLENTE;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANGÉLISSON TENHARIN;PSOL;NÃO ELEITO;1;0;0.0;NAO
2018;AM;ALVARÃES;Deputado Estadual;ANINHA;MDB;SUPLENTE;1;0;0.0;NAO
