ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2018;AP;AMAPÁ;Deputado Estadual;ABDALLA;PR;SUPLENTE;1;1;0.02;NAO
2018;AP;AMAPÁ;Deputado Estadual;ADEMAR BANDEIRA;PSC;SUPLENTE;1;1;0.02;NAO
2018;AP;AMAPÁ;Deputado Estadual;ADEMIR PELAES;PPS;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ADENI DO MACAPABA;PSB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ADRIANO MARINI;PSL;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ADRIANO TRAJANO;PP;SUPLENTE;1;8;0.18;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALAN BATISTA;DC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALAN FIGUEREIDO;PSOL;SUPLENTE;1;7;0.16;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALAN ROCHA;PODE;NÃO ELEITO;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALAN RODRIGUES;PPL;SUPLENTE;1;14;0.32;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALDA UCHÔA;PROS;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALDERICO PINHEIRO;PP;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALDILENE SOUZA;PPL;ELEITO POR QP;1;6;0.14;SIM
2018;AP;AMAPÁ;Deputado Estadual;ALDINE SARMENTO;PRP;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALDO BALIEIRO;PP;SUPLENTE;1;12;0.27;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALDRIN;PROS;SUPLENTE;1;1;0.02;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALEGNA RENOVE;PSC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALESSANDRA BARBOSA;PR;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALESSANDRA BELÉM;PSDB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALEX SÁ;PSB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALEXANDRE AZEVEDO;PRP;SUPLENTE;1;2;0.05;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALEXIA LEBLOK;PP;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALIANY ;PHS;SUPLENTE;1;21;0.48;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALICE DA SILVA;PODE;NÃO ELEITO;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALINE MAIA;PMB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ALLINY SERRÃO;DEM;ELEITO POR QP;1;89;2.03;SIM
2018;AP;AMAPÁ;Deputado Estadual;ALMIR;PSL;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;AMADO AMANCIO;PV;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;AMADO FLEXA;PTC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;AMANDA BENTES;DEM;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;AMANDA BRITO;PODE;NÃO ELEITO;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANA CLAUDIA;PTC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANA COSTA;PRB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANA NASCIMENTO;PRB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANA PAULA;PSTU;NÃO ELEITO;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANA PAULA ;PMB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANDREIA TOLENTINO;PSB;SUPLENTE;1;1;0.02;NAO
2018;AP;AMAPÁ;Deputado Estadual;ANTONIA PINHEIRO;PRP;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;APARECIDA SALOMÃO;PSD;SUPLENTE;1;185;4.23;NAO
2018;AP;AMAPÁ;Deputado Estadual;ARIELSON TAVARES;PSC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;ARILSON MELO;PTC;SUPLENTE;1;93;2.13;NAO
2018;AP;AMAPÁ;Deputado Estadual;ARNOUDO TIRIRICA DO AMAPA;PPS;SUPLENTE;1;1;0.02;NAO
2018;AP;AMAPÁ;Deputado Estadual;ARRÁ MORENO;PR;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;AUGUSTO AGUIAR;MDB;SUPLENTE;1;10;0.23;NAO
2018;AP;AMAPÁ;Deputado Estadual;AUGUSTO FÉLIX;SOLIDARIEDADE;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;BADICO;PRP;SUPLENTE;1;2;0.05;NAO
2018;AP;AMAPÁ;Deputado Estadual;BARCELLOS NETO;PRP;SUPLENTE;1;12;0.27;NAO
2018;AP;AMAPÁ;Deputado Estadual;BATMAN;PV;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;BESALIEL;PTC;SUPLENTE;1;3;0.07;NAO
2018;AP;AMAPÁ;Deputado Estadual;BIA AMARAL;PSDB;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;BIBI GOMES;PSC;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;BILU MONTEIRO;PPS;SUPLENTE;1;0;0.0;NAO
2018;AP;AMAPÁ;Deputado Estadual;BIRA TOLOSA;PPS;SUPLENTE;1;1;0.02;NAO
