ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;BA;ABARÉ;Prefeito;FERNANDO TOLENTINO;PT;ELEITO;1;7435;62.19;SIM
2020;BA;ABARÉ;Prefeito;TATI OLIVEIRA;DEM;NÃO ELEITO;1;4521;37.81;NAO
2020;BA;ABARÉ;Vereador;ANA PAULA;DEM;SUPLENTE;1;297;2.6;NAO
2020;BA;ABARÉ;Vereador;CARLA PAIVA;DEM;SUPLENTE;1;395;3.46;NAO
2020;BA;ABARÉ;Vereador;CARLINHOS DE BETO;DEM;SUPLENTE;1;224;1.96;NAO
2020;BA;ABARÉ;Vereador;CHICO JERICÓ;PSD;NÃO ELEITO;1;291;2.55;NAO
2020;BA;ABARÉ;Vereador;CLEIDIVAN ;PSD;NÃO ELEITO;1;33;0.29;NAO
2020;BA;ABARÉ;Vereador;CLEILSON DO SINDICATO;DEM;ELEITO POR QP;1;396;3.47;SIM
2020;BA;ABARÉ;Vereador;DINA DE DA GATA;DEM;SUPLENTE;1;101;0.88;NAO
2020;BA;ABARÉ;Vereador;DORCIA DE RONY;PP;SUPLENTE;1;340;2.98;NAO
2020;BA;ABARÉ;Vereador;EDIMAR MARINHEIRO;DEM;ELEITO POR QP;1;508;4.45;SIM
2020;BA;ABARÉ;Vereador;FABIO;PP;SUPLENTE;1;117;1.02;NAO
2020;BA;ABARÉ;Vereador;GABRIEL DE GERALDO;PT;ELEITO POR QP;1;655;5.73;SIM
2020;BA;ABARÉ;Vereador;GILDO DE BOSQUINHO;PT;SUPLENTE;1;414;3.62;NAO
2020;BA;ABARÉ;Vereador;JOSILDA ANDRADE;PSD;NÃO ELEITO;1;30;0.26;NAO
2020;BA;ABARÉ;Vereador;JOÃO PAULO DE PERCILIANO;PP;SUPLENTE;1;381;3.34;NAO
2020;BA;ABARÉ;Vereador;JUNIOR DO ESPORTE;PSD;NÃO ELEITO;1;74;0.65;NAO
2020;BA;ABARÉ;Vereador;LELO DO PROJETO;PT;ELEITO POR QP;1;816;7.14;SIM
2020;BA;ABARÉ;Vereador;LILIAN DE ANITA;PT;SUPLENTE;1;79;0.69;NAO
