ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;ES;AFONSO CLÁUDIO;Prefeito;EDELIO GUEDES;MDB;NÃO ELEITO;1;4722;26.67;NAO
2020;ES;AFONSO CLÁUDIO;Prefeito;GORETE;REDE;NÃO ELEITO;1;739;4.17;NAO
2020;ES;AFONSO CLÁUDIO;Prefeito;JOAO BELISÁRIO;PV;NÃO ELEITO;1;269;1.52;NAO
2020;ES;AFONSO CLÁUDIO;Prefeito;JOAO COSTELA;DC;NÃO ELEITO;1;78;0.44;NAO
2020;ES;AFONSO CLÁUDIO;Prefeito;LUCIANO PIMENTA;PSL;ELEITO;1;6684;37.75;SIM
2020;ES;AFONSO CLÁUDIO;Prefeito;MÁRCIO CDA;PSB;NÃO ELEITO;1;5062;28.59;NAO
2020;ES;AFONSO CLÁUDIO;Prefeito;VICENTE LEITE;PSD;NÃO ELEITO;1;153;0.86;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ADEILDE DAVEL;PODE;ELEITO POR QP;1;539;3.2;SIM
2020;ES;AFONSO CLÁUDIO;Vereador;ADEMAR BUTZKE;PSD;NÃO ELEITO;1;143;0.85;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ADEVALDO GASKE;PTB;SUPLENTE;1;179;1.06;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ADILIO LUIZ;PSL;SUPLENTE;1;3;0.02;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ADRIANA VIANA;PATRIOTA;SUPLENTE;1;1;0.01;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;AGUINALDO;REDE;NÃO ELEITO;1;58;0.34;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ALEXANDRE HACHBART;PSL;SUPLENTE;1;80;0.48;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ALICINIO POPULAR PASSARINHO;PSB;SUPLENTE;1;87;0.52;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANDERSON PAGOTTO;PSB;SUPLENTE;1;365;2.17;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANDRE LAMAS;PATRIOTA;SUPLENTE;1;210;1.25;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANDREIA DIAS;PTB;SUPLENTE;1;21;0.12;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANDRELINO;PC do B;NÃO ELEITO;1;7;0.04;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANGELITA MENEZES;MDB;SUPLENTE;1;8;0.05;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ANJINHA DO CARIJÓ;PSB;SUPLENTE;1;24;0.14;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;ARLINDO BUNGENSTAB;PSB;SUPLENTE;1;109;0.65;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;BELEZA;MDB;SUPLENTE;1;12;0.07;NAO
2020;ES;AFONSO CLÁUDIO;Vereador;BERIATO AUGUSTO ALVES;PDT;SUPLENTE;1;233;1.38;NAO
