ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;GO;ABADIA DE GOIÁS;Prefeito;ITAMAR MARKA DA PAZ;PSC;NÃO ELEITO;1;532;6.76;NAO
2020;GO;ABADIA DE GOIÁS;Prefeito;IVAN JARDIM;PSB;NÃO ELEITO;1;56;0.71;NAO
2020;GO;ABADIA DE GOIÁS;Prefeito;WANDER SARAIVA;PP;ELEITO;1;5053;64.23;SIM
2020;GO;ABADIA DE GOIÁS;Prefeito;ZÉ DA PATROLA;PDT;NÃO ELEITO;1;2226;28.3;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;AELMA;DEM;NÃO ELEITO;1;10;0.13;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;AMARILDO OLIVEIRA;PSB;NÃO ELEITO;1;14;0.19;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANA;PL;SUPLENTE;1;15;0.2;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANANIAS SAUDE;PSB;NÃO ELEITO;1;25;0.33;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANDRIELLY;PDT;SUPLENTE;1;7;0.09;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANTENOR ALVES;DEM;NÃO ELEITO;1;104;1.39;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANTONIA DA SAUDE;PSB;NÃO ELEITO;1;1;0.01;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ANTÔNIO GRANDE;CIDADANIA;SUPLENTE;1;104;1.39;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ATAWAN;PDT;SUPLENTE;1;57;0.76;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;BRANQUINHO DA TRIGOSTOSO;PP;SUPLENTE;1;14;0.19;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CASQUETE;PDT;SUPLENTE;1;48;0.64;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CLAUDINHO;REPUBLICANOS;ELEITO POR MÉDIA;1;278;3.7;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;CLAUDIO SANTO DA CONSTRUÇÃO;PSB;NÃO ELEITO;1;10;0.13;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CLEITON DA PAMONHA;CIDADANIA;SUPLENTE;1;6;0.08;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CLEONICE CANEDO;PP;SUPLENTE;1;258;3.44;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CLODOALDO SILVA;REPUBLICANOS;SUPLENTE;1;260;3.46;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CORIOLANO;DEM;NÃO ELEITO;1;32;0.43;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CRIS  CRISTIANA GARCIA;PP;SUPLENTE;1;21;0.28;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;CÍCERO;PL;SUPLENTE;1;0;0.0;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DAIANE HILÁRIO;CIDADANIA;SUPLENTE;1;7;0.09;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DANIEL VALENTE DA ESCRITURA;PSB;NÃO ELEITO;1;31;0.41;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DAVID GOMES;PL;SUPLENTE;1;188;2.5;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DEIVID BENJAMIM;DEM;NÃO ELEITO;1;18;0.24;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DELEI;PL;ELEITO POR MÉDIA;1;296;3.94;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;DIANA CORREA;PDT;SUPLENTE;1;15;0.2;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DIEGO DA CONCEIÇÃO;PP;SUPLENTE;1;230;3.06;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DIVININHO DO GOIÂNIA SUL;PATRIOTA;SUPLENTE;1;119;1.59;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DONA FÁTIMA;PP;SUPLENTE;1;12;0.16;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;DONA NAIR;CIDADANIA;SUPLENTE;1;11;0.15;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;EDINA;PL;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;EDNA SILVA DA SAUDE;PSB;NÃO ELEITO;1;13;0.17;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ELI QUILOMBOLA;DEM;NÃO ELEITO;1;127;1.69;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ELIANE PIRES;REPUBLICANOS;SUPLENTE;1;45;0.6;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ELIAS DA MECAT;PATRIOTA;SUPLENTE;1;27;0.36;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ELIONES PEREIRA;PSB;NÃO ELEITO;1;8;0.11;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ERIMAR ÍNDIA;PDT;SUPLENTE;1;6;0.08;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;EUGÊNIO LEITEIRO;PP;ELEITO POR MÉDIA;1;258;3.44;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;EVANDRO MESQUITA;CIDADANIA;SUPLENTE;1;25;0.33;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;EVANILCE DEDA;PL;SUPLENTE;1;10;0.13;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;FABIO DA JUVENTUDE;PP;SUPLENTE;1;77;1.03;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;FLAVIA CAROLINA;CIDADANIA;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;GADIÔ;PL;SUPLENTE;1;113;1.51;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;GAÚCHO DOS UNIVERSITÁRIOS;CIDADANIA;SUPLENTE;1;2;0.03;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;GERALDO DA SEGURANÇA;PSB;NÃO ELEITO;1;2;0.03;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;HELVIO QUEIROZ;PATRIOTA;SUPLENTE;1;66;0.88;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;HIGOR MAKTUB;DEM;NÃO ELEITO;1;13;0.17;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;INDIRA GHANDI;PATRIOTA;SUPLENTE;1;41;0.55;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;IRENE DO BERETA;CIDADANIA;SUPLENTE;1;30;0.4;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;IRINEU CORRETOR;REPUBLICANOS;SUPLENTE;1;93;1.24;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;JAIRO MARINHO;PDT;ELEITO POR MÉDIA;1;262;3.49;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;JAPÃO;CIDADANIA;ELEITO POR QP;1;196;2.61;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;JUNIOR PROFESSOR;PL;ELEITO POR QP;1;355;4.73;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;KARLA ROBERTA;DEM;NÃO ELEITO;1;6;0.08;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;KEILINHA DO DECA;PATRIOTA;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LAISE  RIBEIRO;CIDADANIA;SUPLENTE;1;163;2.17;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LEONAN CARVALHO;REPUBLICANOS;SUPLENTE;1;121;1.61;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LIDIAN ARAUJO;REPUBLICANOS;SUPLENTE;1;108;1.44;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LINDOLFO ZEBRAO;DEM;NÃO ELEITO;1;70;0.93;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LUCIETE RABELO DA EDUCAÇÃO;PSB;NÃO ELEITO;1;0;0.0;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LUCILENE COSTUREIRA;PATRIOTA;SUPLENTE;1;8;0.11;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LUIZINHO DA SAÚDE;CIDADANIA;SUPLENTE;1;194;2.58;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;LUIZÃO;PP;ELEITO POR QP;1;265;3.53;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;LUZIA DA SAUDE;PSB;NÃO ELEITO;1;1;0.01;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MARIA DIVINA;REPUBLICANOS;SUPLENTE;1;21;0.28;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MARINO RAMOS;PP;SUPLENTE;1;40;0.53;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MARLENE PAIVA;REPUBLICANOS;SUPLENTE;1;18;0.24;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MIGUELAO PEDREIRO;PATRIOTA;SUPLENTE;1;94;1.25;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MIRIAM;PATRIOTA;SUPLENTE;1;1;0.01;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MIRIELLY MANICURE;PATRIOTA;SUPLENTE;1;8;0.11;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MODERNO;PDT;SUPLENTE;1;17;0.23;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;MORAIS;PL;SUPLENTE;1;96;1.28;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;OZEIAS DO POVÃO;REPUBLICANOS;ELEITO POR QP;1;302;4.02;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;PASTOR FABIO;PATRIOTA;SUPLENTE;1;5;0.07;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PASTOR WELLITON;PP;SUPLENTE;1;130;1.73;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PAULINHO DA CULTURA;PATRIOTA;SUPLENTE;1;133;1.77;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PAULO ANDRE;REPUBLICANOS;SUPLENTE;1;49;0.65;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PAULO DO POSTO;CIDADANIA;SUPLENTE;1;34;0.45;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PR EDILVAN;REPUBLICANOS;SUPLENTE;1;36;0.48;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PR RODRIGO DA FARTURA;CIDADANIA;SUPLENTE;1;61;0.81;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PR UELITON;PL;SUPLENTE;1;54;0.72;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PR. GERALDO ROSA (GÊ);PL;SUPLENTE;1;199;2.65;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PROFESSOR LUCAS;REPUBLICANOS;SUPLENTE;1;99;1.32;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PROFESSOR RENDERSON;DEM;NÃO ELEITO;1;24;0.32;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;PROFESSORA CRIS;PP;SUPLENTE;1;79;1.05;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;RATINHO;DEM;NÃO ELEITO;1;30;0.4;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;REINALDO DORNELAS;PDT;SUPLENTE;1;131;1.75;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;RIANE LIMA;REPUBLICANOS;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ROBSON POLICARPO;PP;SUPLENTE;1;42;0.56;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;SABINO VICTOR;PP;SUPLENTE;1;30;0.4;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;SARGENTO EDSON;PATRIOTA;SUPLENTE;1;114;1.52;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;SOCORRO;PL;SUPLENTE;1;14;0.19;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;TAILSON BARBEARIA;PDT;SUPLENTE;1;13;0.17;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;TIA CÉLIA;PDT;SUPLENTE;1;54;0.72;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;TIA LOURDES;PP;SUPLENTE;1;56;0.75;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;TÁ BARATO;PATRIOTA;SUPLENTE;1;155;2.07;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;VALERIO;PATRIOTA;ELEITO POR QP;1;174;2.32;SIM
2020;GO;ABADIA DE GOIÁS;Vereador;VALMA FIDELES;DEM;NÃO ELEITO;1;59;0.79;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;VALTIM MEU LIDER;PDT;SUPLENTE;1;46;0.61;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;VANDINHO DA AMBULÂNCIA;CIDADANIA;SUPLENTE;1;33;0.44;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;WORLEY BÓ;PL;SUPLENTE;1;100;1.33;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ZACARIAS;DEM;NÃO ELEITO;1;18;0.24;NAO
2020;GO;ABADIA DE GOIÁS;Vereador;ZÉ TROVÃO;PDT;SUPLENTE;1;29;0.39;NAO
2020;GO;ABADIÂNIA;Prefeito;PAULO PAULADA;PATRIOTA;NÃO ELEITO;1;36;0.44;NAO
2020;GO;ABADIÂNIA;Prefeito;TENENTE ALESSANDRO;PDT;NÃO ELEITO;1;2994;36.67;NAO
2020;GO;ABADIÂNIA;Prefeito;WENDER CHAVES;MDB;NÃO ELEITO;1;631;7.73;NAO
2020;GO;ABADIÂNIA;Prefeito;ZÉ DINIZ;PP;ELEITO;1;4503;55.16;SIM
2020;GO;ABADIÂNIA;Vereador;ADENILSON VALENÇA SORRISO;AVANTE;SUPLENTE;1;26;0.33;NAO
2020;GO;ABADIÂNIA;Vereador;AELCIO DA SAUDE;PRTB;SUPLENTE;1;121;1.55;NAO
2020;GO;ABADIÂNIA;Vereador;ALINE MORAIS;PRTB;SUPLENTE;1;14;0.18;NAO
2020;GO;ABADIÂNIA;Vereador;AMANDA RODRIGUES;PRTB;SUPLENTE;1;9;0.12;NAO
2020;GO;ABADIÂNIA;Vereador;ANGELINA ENFERMEIRA;PROS;SUPLENTE;1;196;2.51;NAO
2020;GO;ABADIÂNIA;Vereador;ASTROGILDO ELETRICISTA;PSC;NÃO ELEITO;1;2;0.03;NAO
2020;GO;ABADIÂNIA;Vereador;ASTÉRIO;PDT;SUPLENTE;1;64;0.82;NAO
2020;GO;ABADIÂNIA;Vereador;AUGUSTO;AVANTE;SUPLENTE;1;56;0.72;NAO
2020;GO;ABADIÂNIA;Vereador;BAIANO OBEDE SANTOS;AVANTE;SUPLENTE;1;7;0.09;NAO
2020;GO;ABADIÂNIA;Vereador;BATISTA DA EMBALAGEM;PRTB;SUPLENTE;1;16;0.2;NAO
2020;GO;ABADIÂNIA;Vereador;BEATRIZ DA FEIRA;AVANTE;SUPLENTE;1;49;0.63;NAO
2020;GO;ABADIÂNIA;Vereador;BELZIM;MDB;SUPLENTE;1;5;0.06;NAO
2020;GO;ABADIÂNIA;Vereador;BRUNNA;MDB;SUPLENTE;1;5;0.06;NAO
2020;GO;ABADIÂNIA;Vereador;CACAU;PP;SUPLENTE;1;28;0.36;NAO
2020;GO;ABADIÂNIA;Vereador;CARLINHO FUSQUINHA;PSDB;NÃO ELEITO;1;166;2.12;NAO
2020;GO;ABADIÂNIA;Vereador;CARLINHOS RABELO;PP;SUPLENTE;1;122;1.56;NAO
2020;GO;ABADIÂNIA;Vereador;CLARINDO BORGES;AVANTE;SUPLENTE;1;261;3.34;NAO
2020;GO;ABADIÂNIA;Vereador;CLEITON;MDB;SUPLENTE;1;220;2.82;NAO
2020;GO;ABADIÂNIA;Vereador;CORUJÃO DO ESPORTE;PP;SUPLENTE;1;15;0.19;NAO
2020;GO;ABADIÂNIA;Vereador;CRISTINA DA SANTA LÚCIA;AVANTE;SUPLENTE;1;4;0.05;NAO
2020;GO;ABADIÂNIA;Vereador;DALDETE;PRTB;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIÂNIA;Vereador;DANIELZIM DO FERNANDO;MDB;SUPLENTE;1;36;0.46;NAO
2020;GO;ABADIÂNIA;Vereador;DANILO ARANTES;PSDB;NÃO ELEITO;1;54;0.69;NAO
2020;GO;ABADIÂNIA;Vereador;DINO DA CELG;PROS;SUPLENTE;1;252;3.22;NAO
2020;GO;ABADIÂNIA;Vereador;EDER DO POTE;AVANTE;SUPLENTE;1;177;2.27;NAO
2020;GO;ABADIÂNIA;Vereador;EDILEUSA;AVANTE;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIÂNIA;Vereador;EDSON DA ÁGUA;MDB;SUPLENTE;1;142;1.82;NAO
2020;GO;ABADIÂNIA;Vereador;EDUARDO;PRTB;SUPLENTE;1;3;0.04;NAO
2020;GO;ABADIÂNIA;Vereador;EDUARDO DA FARMÁCIA;PP;SUPLENTE;1;54;0.69;NAO
2020;GO;ABADIÂNIA;Vereador;ELEUSA COELHO;PDT;SUPLENTE;1;14;0.18;NAO
2020;GO;ABADIÂNIA;Vereador;ELTON;PDT;SUPLENTE;1;5;0.06;NAO
2020;GO;ABADIÂNIA;Vereador;ELTON CALETE;PROS;SUPLENTE;1;81;1.04;NAO
2020;GO;ABADIÂNIA;Vereador;ENI AMANCO;PROS;SUPLENTE;1;13;0.17;NAO
2020;GO;ABADIÂNIA;Vereador;FERNANDA DO DR ITAMAR;PP;ELEITO POR QP;1;420;5.37;SIM
