ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;MA;AFONSO CUNHA;Prefeito;ARQUIMEDES BACELAR;PDT;ELEITO;1;2634;47.67;SIM
2020;MA;AFONSO CUNHA;Prefeito;CLAUDIA BACELAR;REPUBLICANOS;NÃO ELEITO;1;536;9.7;NAO
2020;MA;AFONSO CUNHA;Prefeito;FLORIANO;PROS;NÃO ELEITO;1;2355;42.62;NAO
2020;MA;AFONSO CUNHA;Vereador;ANA  CAROLINA;PROS;SUPLENTE;1;12;0.23;NAO
2020;MA;AFONSO CUNHA;Vereador;ANDREZA;REPUBLICANOS;NÃO ELEITO;1;6;0.12;NAO
2020;MA;AFONSO CUNHA;Vereador;ANTONIO NETO;PROS;SUPLENTE;1;78;1.52;NAO
2020;MA;AFONSO CUNHA;Vereador;BACELAR NETO;PDT;SUPLENTE;1;125;2.44;NAO
2020;MA;AFONSO CUNHA;Vereador;BADU;PC do B;SUPLENTE;1;61;1.19;NAO
2020;MA;AFONSO CUNHA;Vereador;BRITO JUNIOR;PL;SUPLENTE;1;36;0.7;NAO
2020;MA;AFONSO CUNHA;Vereador;CARLOS BEBÉ;PC do B;SUPLENTE;1;119;2.32;NAO
2020;MA;AFONSO CUNHA;Vereador;CHICO BRITO;PDT;SUPLENTE;1;50;0.98;NAO
2020;MA;AFONSO CUNHA;Vereador;CLAUDIO DO PIMBA;PDT;SUPLENTE;1;80;1.56;NAO
2020;MA;AFONSO CUNHA;Vereador;EVANGELISTA BRAGA;PROS;ELEITO POR QP;1;228;4.45;SIM
2020;MA;AFONSO CUNHA;Vereador;FABIO DO ARROZ;PC do B;SUPLENTE;1;22;0.43;NAO
2020;MA;AFONSO CUNHA;Vereador;FARIDE CRISPIM;PDT;ELEITO POR QP;1;227;4.43;SIM
2020;MA;AFONSO CUNHA;Vereador;GERLANE AZEVEDO;PDT;SUPLENTE;1;8;0.16;NAO
2020;MA;AFONSO CUNHA;Vereador;GILIARDE RAMOS;PROS;SUPLENTE;1;169;3.3;NAO
2020;MA;AFONSO CUNHA;Vereador;IRMÃO CELINO;PROS;SUPLENTE;1;73;1.42;NAO
2020;MA;AFONSO CUNHA;Vereador;JAINARIA AGUIAR;PC do B;SUPLENTE;1;3;0.06;NAO
2020;MA;AFONSO CUNHA;Vereador;JERSIK PALOMA;PL;SUPLENTE;1;124;2.42;NAO
2020;MA;AFONSO CUNHA;Vereador;JOSE LUÍS;PL;SUPLENTE;1;140;2.73;NAO
2020;MA;AFONSO CUNHA;Vereador;JOÃO PAULO;PDT;SUPLENTE;1;51;0.99;NAO
2020;MA;AFONSO CUNHA;Vereador;JULIA RODRIGUES;PL;SUPLENTE;1;215;4.19;NAO
2020;MA;AFONSO CUNHA;Vereador;JUNIOR DO TUNA;REPUBLICANOS;NÃO ELEITO;1;127;2.48;NAO
2020;MA;AFONSO CUNHA;Vereador;KINHA;PROS;SUPLENTE;1;18;0.35;NAO
2020;MA;AFONSO CUNHA;Vereador;LINDALVA SOUSA;PDT;SUPLENTE;1;181;3.53;NAO
2020;MA;AFONSO CUNHA;Vereador;LOURO;REPUBLICANOS;NÃO ELEITO;1;20;0.39;NAO
2020;MA;AFONSO CUNHA;Vereador;LUCYELLY;PC do B;SUPLENTE;1;1;0.02;NAO
2020;MA;AFONSO CUNHA;Vereador;MANOEL GOMES;PL;ELEITO POR QP;1;298;5.81;SIM
2020;MA;AFONSO CUNHA;Vereador;MARIA BARBOSA;PDT;SUPLENTE;1;11;0.21;NAO
2020;MA;AFONSO CUNHA;Vereador;MILTON BASTOS;PDT;ELEITO POR QP;1;313;6.1;SIM
2020;MA;AFONSO CUNHA;Vereador;NETA;PROS;SUPLENTE;1;22;0.43;NAO
2020;MA;AFONSO CUNHA;Vereador;NONATO ARAGÃO;PROS;SUPLENTE;1;200;3.9;NAO
2020;MA;AFONSO CUNHA;Vereador;NÓ CEGO;PROS;ELEITO POR MÉDIA;1;201;3.92;SIM
2020;MA;AFONSO CUNHA;Vereador;PATRICIA;PC do B;SUPLENTE;1;9;0.18;NAO
2020;MA;AFONSO CUNHA;Vereador;PRETINHA;PDT;SUPLENTE;1;15;0.29;NAO
2020;MA;AFONSO CUNHA;Vereador;PROF. ALEX DIAS;PL;SUPLENTE;1;61;1.19;NAO
2020;MA;AFONSO CUNHA;Vereador;PROFESSOR BOMBOM;REPUBLICANOS;NÃO ELEITO;1;96;1.87;NAO
2020;MA;AFONSO CUNHA;Vereador;PROFESSOR PAIZIN;PL;ELEITO POR QP;1;267;5.21;SIM
2020;MA;AFONSO CUNHA;Vereador;PROFESSORA GIRLENE;REPUBLICANOS;NÃO ELEITO;1;26;0.51;NAO
2020;MA;AFONSO CUNHA;Vereador;PROFESSORA ROSANGELA;REPUBLICANOS;NÃO ELEITO;1;16;0.31;NAO
2020;MA;AFONSO CUNHA;Vereador;PUAN;REPUBLICANOS;NÃO ELEITO;1;13;0.25;NAO
2020;MA;AFONSO CUNHA;Vereador;PÊ SALES;PDT;SUPLENTE;1;152;2.96;NAO
2020;MA;AFONSO CUNHA;Vereador;RAIMUNDO GROSSO;PL;SUPLENTE;1;181;3.53;NAO
2020;MA;AFONSO CUNHA;Vereador;SILVESTRE;PC do B;SUPLENTE;1;48;0.94;NAO
2020;MA;AFONSO CUNHA;Vereador;SOLANO DO MOACIR;REPUBLICANOS;NÃO ELEITO;1;78;1.52;NAO
2020;MA;AFONSO CUNHA;Vereador;TATY JARDIM;PL;SUPLENTE;1;12;0.23;NAO
2020;MA;AFONSO CUNHA;Vereador;TINDÔ;PROS;SUPLENTE;1;22;0.43;NAO
2020;MA;AFONSO CUNHA;Vereador;WELITON CABEÇÃO;PDT;ELEITO POR MÉDIA;1;182;3.55;SIM
2020;MA;AFONSO CUNHA;Vereador;ZICO  BENTO;PC do B;ELEITO POR MÉDIA;1;296;5.77;SIM
2020;MA;AFONSO CUNHA;Vereador;ZÉ DO GÁS;PDT;ELEITO POR QP;1;434;8.46;SIM
2020;MA;ALCÂNTARA;Prefeito;ANDERSON;PC do B;NÃO ELEITO;1;4372;33.48;NAO
2020;MA;ALCÂNTARA;Prefeito;ANTONIO ROSA;PSL;NÃO ELEITO;1;99;0.76;NAO
2020;MA;ALCÂNTARA;Prefeito;PADRE WILLIAM;PL;ELEITO;1;7874;60.29;SIM
2020;MA;ALCÂNTARA;Prefeito;SARGENTO LEITÃO;PODE;NÃO ELEITO;1;715;5.47;NAO
2020;MA;ALCÂNTARA;Vereador;ADELINO;PP;SUPLENTE;1;153;1.21;NAO
2020;MA;ALCÂNTARA;Vereador;ALEXANDRINA;PODE;NÃO ELEITO;1;9;0.07;NAO
2020;MA;ALCÂNTARA;Vereador;ANA CLEIA;PP;SUPLENTE;1;7;0.06;NAO
2020;MA;ALCÂNTARA;Vereador;BRUNO CLOVIER;AVANTE;SUPLENTE;1;107;0.85;NAO
2020;MA;ALCÂNTARA;Vereador;CAMILA PEREIRA;PL;SUPLENTE;1;5;0.04;NAO
2020;MA;ALCÂNTARA;Vereador;CARMEM;AVANTE;SUPLENTE;1;34;0.27;NAO
2020;MA;ALCÂNTARA;Vereador;CESAR DO MOCAJITUBA;PC do B;SUPLENTE;1;253;2.0;NAO
2020;MA;ALCÂNTARA;Vereador;CHICO DO MARUDA;PROS;SUPLENTE;1;124;0.98;NAO
2020;MA;ALCÂNTARA;Vereador;CICA;PC do B;SUPLENTE;1;29;0.23;NAO
2020;MA;ALCÂNTARA;Vereador;CLAUDIA;PT;NÃO ELEITO;1;8;0.06;NAO
2020;MA;ALCÂNTARA;Vereador;CLEMENTE;PL;SUPLENTE;1;41;0.32;NAO
2020;MA;ALCÂNTARA;Vereador;CLESIO XANAY;PODE;NÃO ELEITO;1;28;0.22;NAO
2020;MA;ALCÂNTARA;Vereador;DALVINA ENFERMEIRA QUILOMBOLA;PROS;SUPLENTE;1;26;0.21;NAO
2020;MA;ALCÂNTARA;Vereador;DAVID;PODE;NÃO ELEITO;1;174;1.38;NAO
2020;MA;ALCÂNTARA;Vereador;DICA LIFE;PDT;SUPLENTE;1;139;1.1;NAO
2020;MA;ALCÂNTARA;Vereador;DIONÍZIO;PT;NÃO ELEITO;1;82;0.65;NAO
2020;MA;ALCÂNTARA;Vereador;DOMINGOS DO MANGUEIRAL;PROS;SUPLENTE;1;42;0.33;NAO
2020;MA;ALCÂNTARA;Vereador;EDILENE;PT;NÃO ELEITO;1;13;0.1;NAO
2020;MA;ALCÂNTARA;Vereador;EVANDRO DE JUQUINHA;PROS;SUPLENTE;1;110;0.87;NAO
2020;MA;ALCÂNTARA;Vereador;FUTUCA;PC do B;SUPLENTE;1;70;0.55;NAO
2020;MA;ALCÂNTARA;Vereador;GRACILENE;AVANTE;SUPLENTE;1;129;1.02;NAO
2020;MA;ALCÂNTARA;Vereador;GRACILENE BINEZINHO;PL;SUPLENTE;1;37;0.29;NAO
2020;MA;ALCÂNTARA;Vereador;GRILO;PDT;SUPLENTE;1;91;0.72;NAO
2020;MA;ALCÂNTARA;Vereador;GUTERRES FILHO;AVANTE;ELEITO POR QP;1;452;3.58;SIM
2020;MA;ALCÂNTARA;Vereador;HAROLDO JUNIOR;PC do B;SUPLENTE;1;299;2.37;NAO
2020;MA;ALCÂNTARA;Vereador;INSTRUTOR JOANILSON;PROS;SUPLENTE;1;15;0.12;NAO
2020;MA;ALCÂNTARA;Vereador;IOLANDA COSTA;PL;SUPLENTE;1;11;0.09;NAO
2020;MA;ALCÂNTARA;Vereador;IRENE;PL;SUPLENTE;1;31;0.25;NAO
2020;MA;ALCÂNTARA;Vereador;IRMÃ DINA;PDT;SUPLENTE;1;18;0.14;NAO
2020;MA;ALCÂNTARA;Vereador;IRMÃ ELIETE;PROS;SUPLENTE;1;39;0.31;NAO
2020;MA;ALCÂNTARA;Vereador;IRMÃO EUDES;PP;SUPLENTE;1;263;2.08;NAO
2020;MA;ALCÂNTARA;Vereador;IVALDO RODRIGUES;PP;SUPLENTE;1;256;2.03;NAO
2020;MA;ALCÂNTARA;Vereador;IVONILDO;PROS;SUPLENTE;1;47;0.37;NAO
2020;MA;ALCÂNTARA;Vereador;JAIRO BENEDITO;PC do B;SUPLENTE;1;45;0.36;NAO
2020;MA;ALCÂNTARA;Vereador;JOEDS;PROS;ELEITO POR QP;1;298;2.36;SIM
2020;MA;ALCÂNTARA;Vereador;JOICY LEITAO;PROS;SUPLENTE;1;66;0.52;NAO
2020;MA;ALCÂNTARA;Vereador;JOILSON SA;PROS;SUPLENTE;1;209;1.66;NAO
2020;MA;ALCÂNTARA;Vereador;JOSY MELO;PT;NÃO ELEITO;1;8;0.06;NAO
2020;MA;ALCÂNTARA;Vereador;JOÃO BATISTA;PDT;SUPLENTE;1;142;1.12;NAO
2020;MA;ALCÂNTARA;Vereador;JOÃO CLIMACO;PT;NÃO ELEITO;1;71;0.56;NAO
2020;MA;ALCÂNTARA;Vereador;JOÃO REIS;PT;NÃO ELEITO;1;5;0.04;NAO
2020;MA;ALCÂNTARA;Vereador;JOÃO RICARDO;PT;NÃO ELEITO;1;242;1.92;NAO
2020;MA;ALCÂNTARA;Vereador;KATIA DE SACODE;PDT;SUPLENTE;1;199;1.58;NAO
2020;MA;ALCÂNTARA;Vereador;LAZICO;PDT;ELEITO POR QP;1;604;4.78;SIM
2020;MA;ALCÂNTARA;Vereador;LENE KARLA;PROS;SUPLENTE;1;52;0.41;NAO
2020;MA;ALCÂNTARA;Vereador;LILICO;PL;SUPLENTE;1;53;0.42;NAO
2020;MA;ALCÂNTARA;Vereador;MARCELO AMORIM;PODE;NÃO ELEITO;1;43;0.34;NAO
2020;MA;ALCÂNTARA;Vereador;MARCIO DO CUJUPE;PP;SUPLENTE;1;270;2.14;NAO
2020;MA;ALCÂNTARA;Vereador;MARIA;PSL;NÃO ELEITO;1;6;0.05;NAO
2020;MA;ALCÂNTARA;Vereador;MARIA DO CUJUPE;PSL;NÃO ELEITO;1;10;0.08;NAO
2020;MA;ALCÂNTARA;Vereador;MARIO;PC do B;ELEITO POR QP;1;341;2.7;SIM
2020;MA;ALCÂNTARA;Vereador;MARIVALDO CAMPOS;PROS;ELEITO POR MÉDIA;1;266;2.11;SIM
2020;MA;ALCÂNTARA;Vereador;MAYKELY VIEIRA;PODE;NÃO ELEITO;1;18;0.14;NAO
2020;MA;ALCÂNTARA;Vereador;MENCA PINHO;PP;ELEITO POR MÉDIA;1;337;2.67;SIM
2020;MA;ALCÂNTARA;Vereador;MIECIO MACEDO;PL;ELEITO POR QP;1;380;3.01;SIM
2020;MA;ALCÂNTARA;Vereador;MIZAEL MAGUINHO;PODE;NÃO ELEITO;1;37;0.29;NAO
2020;MA;ALCÂNTARA;Vereador;MOCOTÓ;PDT;SUPLENTE;1;110;0.87;NAO
2020;MA;ALCÂNTARA;Vereador;NATHALIA BINÉ;PDT;ELEITO POR QP;1;430;3.41;SIM
2020;MA;ALCÂNTARA;Vereador;NELIO DE CENTRO ALEGRE;PROS;SUPLENTE;1;49;0.39;NAO
2020;MA;ALCÂNTARA;Vereador;NHORE;PROS;SUPLENTE;1;143;1.13;NAO
2020;MA;ALCÂNTARA;Vereador;NICINHA PT;PT;NÃO ELEITO;1;94;0.74;NAO
2020;MA;ALCÂNTARA;Vereador;NILSON PEREIRA;PL;ELEITO POR MÉDIA;1;366;2.9;SIM
2020;MA;ALCÂNTARA;Vereador;NOJOSA;PT;NÃO ELEITO;1;12;0.1;NAO
2020;MA;ALCÂNTARA;Vereador;OLHINHO;PC do B;SUPLENTE;1;318;2.52;NAO
2020;MA;ALCÂNTARA;Vereador;PALECO;PSL;NÃO ELEITO;1;97;0.77;NAO
2020;MA;ALCÂNTARA;Vereador;PATRICIA;PODE;NÃO ELEITO;1;7;0.06;NAO
2020;MA;ALCÂNTARA;Vereador;PECO;PL;SUPLENTE;1;188;1.49;NAO
2020;MA;ALCÂNTARA;Vereador;PEDRO COSTA;PL;SUPLENTE;1;69;0.55;NAO
2020;MA;ALCÂNTARA;Vereador;PINTO DO OITIUA;PDT;SUPLENTE;1;227;1.8;NAO
2020;MA;ALCÂNTARA;Vereador;PONTAENSE;PC do B;SUPLENTE;1;32;0.25;NAO
2020;MA;ALCÂNTARA;Vereador;PORRUDO;PROS;SUPLENTE;1;208;1.65;NAO
2020;MA;ALCÂNTARA;Vereador;PROF.PAULO FERNANDO;AVANTE;SUPLENTE;1;63;0.5;NAO
2020;MA;ALCÂNTARA;Vereador;PROFESSOR VADICO;PL;ELEITO POR QP;1;624;4.94;SIM
2020;MA;ALCÂNTARA;Vereador;PROFESSORA  DINA;PL;SUPLENTE;1;177;1.4;NAO
2020;MA;ALCÂNTARA;Vereador;PROFESSORA TECA;PROS;SUPLENTE;1;12;0.1;NAO
2020;MA;ALCÂNTARA;Vereador;R FILHO;PDT;SUPLENTE;1;185;1.47;NAO
2020;MA;ALCÂNTARA;Vereador;RICARDO CASTRO;PODE;NÃO ELEITO;1;100;0.79;NAO
2020;MA;ALCÂNTARA;Vereador;RICARDO SILVA;PL;SUPLENTE;1;69;0.55;NAO
2020;MA;ALCÂNTARA;Vereador;ROBSON CORVELO;PP;ELEITO POR QP;1;353;2.8;SIM
