ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;MT;ACORIZAL;Prefeito;BENNA LEMES;DEM;NÃO ELEITO;1;2253;29.26;NAO
2020;MT;ACORIZAL;Prefeito;CLODO;DEM;NÃO ELEITO;1;944;12.26;NAO
2020;MT;ACORIZAL;Prefeito;DIEGO TAQUES;PSD;ELEITO;1;2758;35.82;SIM
2020;MT;ACORIZAL;Prefeito;DR. HERNANDES;PTB;NÃO ELEITO;1;546;7.09;NAO
2020;MT;ACORIZAL;Prefeito;MALDO FIGUEIREDO SÁ;PP;NÃO ELEITO;1;720;9.35;NAO
2020;MT;ACORIZAL;Prefeito;RONY AZL;PV;NÃO ELEITO;1;478;6.21;NAO
2020;MT;ACORIZAL;Vereador;ADILCE DA ALDEIA;PTB;SUPLENTE;1;11;0.22;NAO
2020;MT;ACORIZAL;Vereador;ADMIL TRINDADE;PV;NÃO ELEITO;1;59;1.19;NAO
2020;MT;ACORIZAL;Vereador;BARBARA SANTANA;PSB;NÃO ELEITO;1;12;0.24;NAO
2020;MT;ACORIZAL;Vereador;BENNA LEMES;DEM;ELEITO POR QP;1;226;4.55;SIM
2020;MT;ACORIZAL;Vereador;CARLINO DOMINGOS FLANOFA;PP;SUPLENTE;1;44;0.88;NAO
2020;MT;ACORIZAL;Vereador;CLAUDINEI CORÓ;PODE;NÃO ELEITO;1;112;2.25;NAO
2020;MT;ACORIZAL;Vereador;DENIS PIXI;PSD;SUPLENTE;1;46;0.93;NAO
2020;MT;ACORIZAL;Vereador;DINEY;DEM;SUPLENTE;1;158;3.18;NAO
2020;MT;ACORIZAL;Vereador;DITO CABARÉ;DEM;SUPLENTE;1;44;0.88;NAO
2020;MT;ACORIZAL;Vereador;DONATINHO;PTB;ELEITO POR MÉDIA;1;187;3.76;SIM
2020;MT;ACORIZAL;Vereador;ELIENE ZONOECE;PSB;NÃO ELEITO;1;160;3.22;NAO
2020;MT;ACORIZAL;Vereador;ENFERMEIRA CELINA;PTB;SUPLENTE;1;145;2.92;NAO
2020;MT;ACORIZAL;Vereador;GAIO;PSB;NÃO ELEITO;1;123;2.47;NAO
2020;MT;ACORIZAL;Vereador;HILTON MENDES DE ALMEIDA;PP;SUPLENTE;1;145;2.92;NAO
2020;MT;ACORIZAL;Vereador;IRENA SILVA;PTB;SUPLENTE;1;3;0.06;NAO
2020;MT;ACORIZAL;Vereador;IRMÃO BRANCO DE BAUS;DEM;SUPLENTE;1;158;3.18;NAO
2020;MT;ACORIZAL;Vereador;JOACY FRANCISCO DE OLIVEIRA;PP;SUPLENTE;1;165;3.32;NAO
2020;MT;ACORIZAL;Vereador;JOZENILSON RICARDO DE FIGUEIRE;PP;ELEITO POR MÉDIA;1;195;3.92;SIM
2020;MT;ACORIZAL;Vereador;KEVIN MONTEIRO;PTB;SUPLENTE;1;147;2.96;NAO
2020;MT;ACORIZAL;Vereador;KLEIA SILVA;PP;SUPLENTE;1;9;0.18;NAO
2020;MT;ACORIZAL;Vereador;LUCREIDE BOMDESPACHO DA SILVA;PP;SUPLENTE;1;51;1.03;NAO
2020;MT;ACORIZAL;Vereador;MARCEL RODRIGUES MENDES;PP;SUPLENTE;1;109;2.19;NAO
2020;MT;ACORIZAL;Vereador;MARCIO PRETO;DEM;SUPLENTE;1;70;1.41;NAO
2020;MT;ACORIZAL;Vereador;MARCIO RAMOS;PSB;NÃO ELEITO;1;87;1.75;NAO
2020;MT;ACORIZAL;Vereador;MARIA AUXILIADORA;DEM;ELEITO POR QP;1;259;5.21;SIM
2020;MT;ACORIZAL;Vereador;MARIA DE ARRUDA BOTELHO ZARK;PP;ELEITO POR QP;1;322;6.48;SIM
2020;MT;ACORIZAL;Vereador;MEIRE DIAS;PV;NÃO ELEITO;1;27;0.54;NAO
2020;MT;ACORIZAL;Vereador;NATAL;DEM;ELEITO POR MÉDIA;1;163;3.28;SIM
2020;MT;ACORIZAL;Vereador;NERIS TEIXEIRA;PSD;SUPLENTE;1;9;0.18;NAO
2020;MT;ACORIZAL;Vereador;NICE;DEM;SUPLENTE;1;120;2.41;NAO
2020;MT;ACORIZAL;Vereador;ODIL JUNIOR;PSD;ELEITO POR QP;1;391;7.86;SIM
2020;MT;ACORIZAL;Vereador;PAULO DA VERDURA;PTB;SUPLENTE;1;13;0.26;NAO
2020;MT;ACORIZAL;Vereador;PAULO MARLON QUINTEIRO;PV;NÃO ELEITO;1;91;1.83;NAO
2020;MT;ACORIZAL;Vereador;PROFESSOR ZÉ BOLINHA;PSD;SUPLENTE;1;199;4.0;NAO
2020;MT;ACORIZAL;Vereador;PROFESSORA KARINA;PODE;NÃO ELEITO;1;80;1.61;NAO
2020;MT;ACORIZAL;Vereador;ROBERTH RIBEIRO DE LIMA;PP;ELEITO POR QP;1;251;5.05;SIM
2020;MT;ACORIZAL;Vereador;ROBSON GUSMÃO;PTB;SUPLENTE;1;0;0.0;NAO
2020;MT;ACORIZAL;Vereador;RODRIGO SIQUEIRA;PSD;ELEITO POR QP;1;241;4.85;SIM
2020;MT;ACORIZAL;Vereador;SAGEIA;PSD;SUPLENTE;1;180;3.62;NAO
2020;MT;ACORIZAL;Vereador;SARA;PSD;SUPLENTE;1;84;1.69;NAO
2020;MT;ACORIZAL;Vereador;SOLANGE DOURADO;DEM;SUPLENTE;1;76;1.53;NAO
2020;MT;ALTA FLORESTA;Prefeito;CHICO GAMBA;PSDB;ELEITO;1;11739;42.44;SIM
2020;MT;ALTA FLORESTA;Prefeito;DELEGADO VINICIUS NAZARIO;PODE;NÃO ELEITO;1;7166;25.91;NAO
2020;MT;ALTA FLORESTA;Prefeito;DIDA PIRES;PDT;NÃO ELEITO;1;2848;10.3;NAO
2020;MT;ALTA FLORESTA;Prefeito;LUIZ ARAUJO;PP;NÃO ELEITO;1;241;0.87;NAO
2020;MT;ALTA FLORESTA;Prefeito;ROBSON SILVA;MDB;NÃO ELEITO;1;4392;15.88;NAO
2020;MT;ALTA FLORESTA;Prefeito;ROGÉRIO COLICCHIO;PT;NÃO ELEITO;1;1274;4.61;NAO
2020;MT;ALTA FLORESTA;Vereador;ADELSON SERVIDOR;PDT;ELEITO POR MÉDIA;1;520;2.04;SIM
2020;MT;ALTA FLORESTA;Vereador;ADO ALMEIDA;PSC;SUPLENTE;1;51;0.2;NAO
