ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;PI;ACAUÃ;Prefeito;FRANCISQUINHA;REPUBLICANOS;NÃO ELEITO;1;1796;34.37;NAO
2020;PI;ACAUÃ;Prefeito;PAULO SERGIO;PSD;ELEITO;1;3429;65.63;SIM
2020;PI;ACAUÃ;Vereador;AMADEUS;PSD;ELEITO POR MÉDIA;1;264;5.29;SIM
2020;PI;ACAUÃ;Vereador;ANA;REPUBLICANOS;ELEITO POR QP;1;293;5.87;SIM
2020;PI;ACAUÃ;Vereador;ARISTEU;PSD;ELEITO POR QP;1;453;9.08;SIM
2020;PI;ACAUÃ;Vereador;BILAU;PSD;SUPLENTE;1;63;1.26;NAO
2020;PI;ACAUÃ;Vereador;CHAGUINHA;REPUBLICANOS;ELEITO POR QP;1;367;7.36;SIM
2020;PI;ACAUÃ;Vereador;CHICA DE JURACI;REPUBLICANOS;SUPLENTE;1;6;0.12;NAO
2020;PI;ACAUÃ;Vereador;CRISÓSTOMO;REPUBLICANOS;SUPLENTE;1;88;1.76;NAO
2020;PI;ACAUÃ;Vereador;DEWILSON DE ELISIO;REPUBLICANOS;SUPLENTE;1;181;3.63;NAO
2020;PI;ACAUÃ;Vereador;ELIAS DA CHURRASCARIA;REPUBLICANOS;SUPLENTE;1;235;4.71;NAO
2020;PI;ACAUÃ;Vereador;FRANCINALTO;PSD;ELEITO POR QP;1;618;12.39;SIM
2020;PI;ACAUÃ;Vereador;GRACIOSA;REPUBLICANOS;SUPLENTE;1;31;0.62;NAO
2020;PI;ACAUÃ;Vereador;ISA RODRIGUES;PSD;ELEITO POR QP;1;399;8.0;SIM
2020;PI;ACAUÃ;Vereador;JÚNIOR;REPUBLICANOS;SUPLENTE;1;220;4.41;NAO
2020;PI;ACAUÃ;Vereador;LOMANTO;PSD;ELEITO POR QP;1;592;11.87;SIM
2020;PI;ACAUÃ;Vereador;MANELIM PESO PESADO;PSD;ELEITO POR QP;1;435;8.72;SIM
2020;PI;ACAUÃ;Vereador;OSMAR;PSD;ELEITO POR QP;1;487;9.76;SIM
2020;PI;ACAUÃ;Vereador;PROFESSORA MAZE;PSD;SUPLENTE;1;35;0.7;NAO
2020;PI;ACAUÃ;Vereador;ROSENILDA;PSD;SUPLENTE;1;222;4.45;NAO
2020;PI;AGRICOLÂNDIA;Prefeito;ITALO ALENCAR;MDB;ELEITO;1;2390;63.78;SIM
2020;PI;AGRICOLÂNDIA;Prefeito;WALDIR PEREIRA;REPUBLICANOS;NÃO ELEITO;1;1357;36.22;NAO
2020;PI;AGRICOLÂNDIA;Vereador;AFRANIO GOMES;PP;ELEITO POR QP;1;252;6.84;SIM
2020;PI;AGRICOLÂNDIA;Vereador;ANA BARROS;PP;SUPLENTE;1;105;2.85;NAO
2020;PI;AGRICOLÂNDIA;Vereador;ANDREZA;PP;SUPLENTE;1;19;0.52;NAO
2020;PI;AGRICOLÂNDIA;Vereador;ANTONIO CARLOS;PP;ELEITO POR QP;1;277;7.52;SIM
2020;PI;AGRICOLÂNDIA;Vereador;ANTONIO FILHO;PP;ELEITO POR QP;1;340;9.23;SIM
2020;PI;AGRICOLÂNDIA;Vereador;CARLOS EDUARDO;PP;SUPLENTE;1;123;3.34;NAO
