ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;PR;ABATIÁ;Prefeito;GARCIA DO POSTO;PDT;ELEITO;1;2361;52.57;SIM
2020;PR;ABATIÁ;Prefeito;SONIA CHAVES;PODE;NÃO ELEITO;1;1737;38.68;NAO
2020;PR;ABATIÁ;Prefeito;TONINHO ROSA;DEM;NÃO ELEITO;1;393;8.75;NAO
2020;PR;ABATIÁ;Vereador;ADROVANI;DEM;SUPLENTE;1;13;0.3;NAO
2020;PR;ABATIÁ;Vereador;ADÃO BOTELHO;PT;NÃO ELEITO;1;23;0.54;NAO
2020;PR;ABATIÁ;Vereador;ALEF BODE;PSD;SUPLENTE;1;11;0.26;NAO
2020;PR;ABATIÁ;Vereador;ALESSANDRA MONTEIRO;PODE;SUPLENTE;1;29;0.68;NAO
2020;PR;ABATIÁ;Vereador;AMARAL FILHO DO ZEZINHO COVEIR;PODE;SUPLENTE;1;23;0.54;NAO
2020;PR;ABATIÁ;Vereador;ANDRÉIA DA ROMÁRIA;PP;SUPLENTE;1;37;0.87;NAO
2020;PR;ABATIÁ;Vereador;BRUNO ESCARABEL;PSD;ELEITO POR QP;1;194;4.55;SIM
2020;PR;ABATIÁ;Vereador;CARLINHOS DA AMBULÂNCIA;PP;SUPLENTE;1;31;0.73;NAO
2020;PR;ABATIÁ;Vereador;CARLINHOS LOURENÇO;PODE;SUPLENTE;1;47;1.1;NAO
2020;PR;ABATIÁ;Vereador;CELIA DO BACATÃO;MDB;SUPLENTE;1;22;0.52;NAO
2020;PR;ABATIÁ;Vereador;CELIO DO BAR;PROS;SUPLENTE;1;8;0.19;NAO
2020;PR;ABATIÁ;Vereador;CHULE;PSD;SUPLENTE;1;91;2.13;NAO
2020;PR;ABATIÁ;Vereador;CIDINHA DO HOSPITAL;PDT;SUPLENTE;1;2;0.05;NAO
2020;PR;ABATIÁ;Vereador;CIDINHA ESCARABER;PSD;SUPLENTE;1;51;1.19;NAO
2020;PR;ABATIÁ;Vereador;CLEITON MACHADO;PODE;SUPLENTE;1;33;0.77;NAO
2020;PR;ABATIÁ;Vereador;DELEIZAO;PSD;SUPLENTE;1;60;1.41;NAO
2020;PR;ABATIÁ;Vereador;DENES LEÃO DA AMBULÂNCIA;PP;ELEITO POR MÉDIA;1;199;4.66;SIM
2020;PR;ABATIÁ;Vereador;DEYVER;DEM;SUPLENTE;1;71;1.66;NAO
2020;PR;ABATIÁ;Vereador;DIEGO DO VARDINHO;PSD;SUPLENTE;1;79;1.85;NAO
2020;PR;ABATIÁ;Vereador;DIEGUINHO CAMARGO;PSL;NÃO ELEITO;1;23;0.54;NAO
2020;PR;ABATIÁ;Vereador;DIONYS VICARI;PSL;NÃO ELEITO;1;53;1.24;NAO
2020;PR;ABATIÁ;Vereador;EDNA;PSD;SUPLENTE;1;15;0.35;NAO
2020;PR;ABATIÁ;Vereador;EMANUEL BOLACHA;DEM;SUPLENTE;1;15;0.35;NAO
2020;PR;ABATIÁ;Vereador;ERIKINHA DO POSTO;PDT;SUPLENTE;1;99;2.32;NAO
