ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;RJ;ANGRA DOS REIS;Prefeito;ALEXANDRE BUIÚ O AMIGO DO POVO;PSL;NÃO ELEITO;1;548;0.64;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;CLAUDINHO;PDT;NÃO ELEITO;1;3376;3.94;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;FERNANDO JORDÃO;MDB;ELEITO;1;45172;52.66;SIM
2020;RJ;ANGRA DOS REIS;Prefeito;JANE MOTÉ;PC do B;NÃO ELEITO;1;569;0.66;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;MARIO DESCHAMPS;PV;NÃO ELEITO;1;183;0.21;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;RAFAELLE FIRMINO;PRTB;NÃO ELEITO;1;1042;1.21;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;VAGUINHO;DC;NÃO ELEITO;1;1991;2.32;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;ZEQUINHA MIGUEL;PT;NÃO ELEITO;1;1804;2.1;NAO
2020;RJ;ANGRA DOS REIS;Prefeito;ZÉ AUGUSTO;PP;NÃO ELEITO;1;31098;36.25;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ADEMIR DO PEIXE;PSD;SUPLENTE;1;124;0.15;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ADRIANA DO SOCIAL;MDB;SUPLENTE;1;86;0.1;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ADRIANO BHERING;PC do B;NÃO ELEITO;1;96;0.11;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ALEX DO REBOQUE;PP;SUPLENTE;1;230;0.27;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ALEXANDRA SANTOS ANGRA;REPUBLICANOS;NÃO ELEITO;1;16;0.02;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ALEXANDRE ESTIVADOR;DC;NÃO ELEITO;1;21;0.02;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ALFREDO BARROS  PIRES ;PSD;SUPLENTE;1;108;0.13;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ALÊ JORDÃO;PSB;NÃO ELEITO;1;52;0.06;NAO
2020;RJ;ANGRA DOS REIS;Vereador;AMIGO CAPUTERA;CIDADANIA;SUPLENTE;1;135;0.16;NAO
2020;RJ;ANGRA DOS REIS;Vereador;AMIGUINHA DA VAN;MDB;SUPLENTE;1;64;0.08;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANA FRAGA;PSD;SUPLENTE;1;29;0.03;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANA NASCIMENTO;PDT;NÃO ELEITO;1;2;0.0;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDERSON MORCEGUINHO;REPUBLICANOS;NÃO ELEITO;1;202;0.24;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDRE CORREA;PDT;NÃO ELEITO;1;588;0.7;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDREI LARA;PTC;SUPLENTE;1;805;0.96;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDREIA DA SAÚDE;PROS;NÃO ELEITO;1;13;0.02;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDREIA LIBÓRIO;PV;NÃO ELEITO;1;19;0.02;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDRÉ DA SAÚDE;PTC;SUPLENTE;1;626;0.74;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDRÉ DO FOGÃO;AVANTE;NÃO ELEITO;1;6;0.01;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANDRÉIA SANTOS;PTC;SUPLENTE;1;31;0.04;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANGELINA PANTERS LANCHES;PSL;NÃO ELEITO;1;19;0.02;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANGELO MOTO TAXI;PODE;NÃO ELEITO;1;42;0.05;NAO
2020;RJ;ANGRA DOS REIS;Vereador;ANTÔNIO CARLOS DO PSOL;PSOL;NÃO ELEITO;1;72;0.09;NAO
2020;RJ;ANGRA DOS REIS;Vereador;AROUCA;SOLIDARIEDADE;NÃO ELEITO;1;53;0.06;NAO
2020;RJ;ANGRA DOS REIS;Vereador;AS MARGARIDAS DO PSOL;PSOL;NÃO ELEITO;1;444;0.53;NAO
2020;RJ;ANGRA DOS REIS;Vereador;BAIANO;SOLIDARIEDADE;NÃO ELEITO;1;398;0.47;NAO
2020;RJ;ANGRA DOS REIS;Vereador;BATISTA OH GLÓRIA;PTC;SUPLENTE;1;250;0.3;NAO
2020;RJ;ANGRA DOS REIS;Vereador;BEATRIZ DO PROVETÁ;PATRIOTA;SUPLENTE;1;175;0.21;NAO
