ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;RS;ACEGUÁ;Prefeito;DR  ALFREDO;PSD;NÃO ELEITO;1;334;11.79;NAO
2020;RS;ACEGUÁ;Prefeito;EDMUNDO PICHLER;MDB;NÃO ELEITO;1;724;25.56;NAO
2020;RS;ACEGUÁ;Prefeito;FERNANDINHO TEIXEIRA;PL;NÃO ELEITO;1;319;11.26;NAO
2020;RS;ACEGUÁ;Prefeito;MARCUS PETI;PSDB;ELEITO;1;1095;38.65;SIM
2020;RS;ACEGUÁ;Prefeito;WILLI JANZEN;DEM;NÃO ELEITO;1;361;12.74;NAO
2020;RS;ACEGUÁ;Vereador;AIDA ;PL;NÃO ELEITO;1;9;0.35;NAO
2020;RS;ACEGUÁ;Vereador;ALEMÃO;PSDB;SUPLENTE;1;7;0.27;NAO
2020;RS;ACEGUÁ;Vereador;ARLENIO HUBERT;DEM;NÃO ELEITO;1;55;2.13;NAO
2020;RS;ACEGUÁ;Vereador;BABÁ MONTEIRO;PSDB;SUPLENTE;1;86;3.32;NAO
2020;RS;ACEGUÁ;Vereador;BEATRIZ PRIEBE SILVEIRA;PP;SUPLENTE;1;45;1.74;NAO
2020;RS;ACEGUÁ;Vereador;BIDU;MDB;SUPLENTE;1;44;1.7;NAO
2020;RS;ACEGUÁ;Vereador;BRUNO;PL;NÃO ELEITO;1;29;1.12;NAO
2020;RS;ACEGUÁ;Vereador;CLAUDIOMIRO MACHADO;PSDB;SUPLENTE;1;12;0.46;NAO
2020;RS;ACEGUÁ;Vereador;CLAUDIONIR NUNES;PTB;SUPLENTE;1;50;1.93;NAO
2020;RS;ACEGUÁ;Vereador;DALMIRO ALMEIDA;PP;ELEITO POR MÉDIA;1;82;3.17;SIM
2020;RS;ACEGUÁ;Vereador;DANIELI PÉREZ;PTB;SUPLENTE;1;18;0.7;NAO
2020;RS;ACEGUÁ;Vereador;DOUGLAS FERNANDES;MDB;SUPLENTE;1;34;1.31;NAO
2020;RS;ACEGUÁ;Vereador;DR ALEX CASTILLO;PSD;ELEITO POR MÉDIA;1;70;2.7;SIM
2020;RS;ACEGUÁ;Vereador;ETIANE QUEROGA;PSD;SUPLENTE;1;22;0.85;NAO
2020;RS;ACEGUÁ;Vereador;FLAVIA PIRES;MDB;SUPLENTE;1;7;0.27;NAO
2020;RS;ACEGUÁ;Vereador;FOGUINHO;MDB;ELEITO POR QP;1;186;7.19;SIM
2020;RS;ACEGUÁ;Vereador;GLECIO RODRIGUES;PT;NÃO ELEITO;1;80;3.09;NAO
