ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;AL;ANADIA;Deputado Estadual;ABELARDO SILVA;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ADNA MÉRCIA;PSD;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ADRIANA KATIA;PP;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;AILTON AVLIS;PT;SUPLENTE;1;1;0.01;NAO
2022;AL;ANADIA;Deputado Estadual;AILTON DA FREEDOM;PSD;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;AIRTON DA VIGILÂNCIA;PSB;NÃO ELEITO;1;1;0.01;NAO
2022;AL;ANADIA;Deputado Estadual;ALAY PARANHOS;MDB;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ALESSANDRA HORA;UNIÃO;SUPLENTE;1;2;0.03;NAO
2022;AL;ANADIA;Deputado Estadual;ALESSANDRO PAES;PL;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ALEXANDRE AYRES;MDB;ELEITO POR QP;1;208;2.71;SIM
2022;AL;ANADIA;Deputado Estadual;ALEXANDRE SOUTO - PERITO;PDT;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ALLISSINHA;AVANTE;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;AMÉLIA MENDONÇA;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ANDRE SILVA;REPUBLICANOS;ELEITO POR QP;1;24;0.31;SIM
2022;AL;ANADIA;Deputado Estadual;ANDRESSA LIMA;PV;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ANDRÉ ABDALLA;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ANDRÉ MONTEIRO;UNIÃO;SUPLENTE;1;629;8.19;NAO
2022;AL;ANADIA;Deputado Estadual;ANDRÉ NERI;PSD;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ANGELA GARROTE;PP;SUPLENTE;1;24;0.31;NAO
2022;AL;ANADIA;Deputado Estadual;ANNY TURISMO;AVANTE;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;ANTONIO ALBUQUERQUE;REPUBLICANOS;ELEITO POR QP;1;396;5.16;SIM
2022;AL;ANADIA;Deputado Estadual;ARIANA CAVALCANTI;REPUBLICANOS;SUPLENTE;1;2;0.03;NAO
2022;AL;ANADIA;Deputado Estadual;BASILE;PT;SUPLENTE;1;7;0.09;NAO
2022;AL;ANADIA;Deputado Estadual;BELMIRA YLANA;PTB;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BENEDITA FERNANDES;PMB;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BETH NORONHA;PV;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BETO CABELOS;PSB;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BETO DA FARMÁCIA;PSD;NÃO ELEITO;1;1;0.01;NAO
2022;AL;ANADIA;Deputado Estadual;BETO JORDÃO;PL;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BIANCA NUNES;MDB;SUPLENTE;1;2;0.03;NAO
2022;AL;ANADIA;Deputado Estadual;BISPO FILHO;AVANTE;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BOMBEIRO DA PAZ;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BOMBEIRO WEMISON;PMB;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BORGES;MDB;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;BRENO ALBUQUERQUE;MDB;ELEITO POR MÉDIA;1;276;3.59;SIM
2022;AL;ANADIA;Deputado Estadual;BRIVALDO MARQUES;MDB;SUPLENTE;1;12;0.16;NAO
2022;AL;ANADIA;Deputado Estadual;BRUNO TOLEDO;MDB;ELEITO POR QP;1;17;0.22;SIM
2022;AL;ANADIA;Deputado Estadual;CABO BEBETO;PL;ELEITO POR QP;1;145;1.89;SIM
2022;AL;ANADIA;Deputado Estadual;CAMILA COSTA;PL;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;CAMILA PINHEIRO ;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;CANTOR IRISVALDO SILVA;PSD;NÃO ELEITO;1;5;0.07;NAO
2022;AL;ANADIA;Deputado Estadual;CANTOR LUCIANO REY;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;CAPITÃO EMANUEL COSTA;PSD;NÃO ELEITO;1;1;0.01;NAO
2022;AL;ANADIA;Deputado Estadual;CAPITÃO MIZAEL PESSOA;MDB;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;CARLA DANTAS;MDB;ELEITO POR QP;1;244;3.18;SIM
2022;AL;ANADIA;Deputado Estadual;CAROL DIAS;PL;SUPLENTE;1;14;0.18;NAO
2022;AL;ANADIA;Deputado Estadual;CHICO BASTOS;PP;SUPLENTE;1;0;0.0;NAO
2022;AL;ANADIA;Deputado Estadual;CIBELE MOURA;MDB;ELEITO POR QP;1;111;1.45;SIM
2022;AL;ANADIA;Deputado Estadual;CICERO FILHO;PC do B;SUPLENTE;1;15;0.2;NAO
2022;AL;ANADIA;Deputado Estadual;CIDA FERRO;REPUBLICANOS;SUPLENTE;1;1;0.01;NAO
2022;AL;ANADIA;Deputado Estadual;COMENDADOR DA CAUSA ANIMAL;PSD;NÃO ELEITO;1;0;0.0;NAO
