ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;DF;BRASÍLIA;Deputado Distrital;ADA SILVA;PSC;NÃO ELEITO;1;1233;0.08;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADEILTON BRAZ;PSC;NÃO ELEITO;1;401;0.03;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADELANE MACIEL;PTB;NÃO ELEITO;1;459;0.03;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADELSON ROCHA - DERSON PIAUÍ;PMN;SUPLENTE;1;2550;0.16;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADRIANA FARIA;PATRIOTA;NÃO ELEITO;1;3691;0.23;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADRIANA GLÓRIA;PMB;NÃO ELEITO;1;37;0.0;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ADRIANO MARROCOS;PSD;SUPLENTE;1;765;0.05;NAO
2022;DF;BRASÍLIA;Deputado Distrital;AGACIEL MAIA;PL;SUPLENTE;1;17693;1.11;NAO
2022;DF;BRASÍLIA;Deputado Distrital;AGENILDO NERI;PSDB;SUPLENTE;1;1787;0.11;NAO
2022;DF;BRASÍLIA;Deputado Distrital;AILTON MIRANDA;PTB;NÃO ELEITO;1;3101;0.19;NAO
2022;DF;BRASÍLIA;Deputado Distrital;AIRY CLO DE MULHERES INDÍGENAS;PSOL;SUPLENTE;1;1999;0.13;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALAN VALIM;PMN;SUPLENTE;1;1801;0.11;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALBENES DO ATLETISMO;UNIÃO;SUPLENTE;1;900;0.06;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALCIONE FERNANDES;PATRIOTA;NÃO ELEITO;1;649;0.04;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALESSIO AUTO RACK;PROS;NÃO ELEITO;1;584;0.04;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALEX CARREIRO;UNIÃO;SUPLENTE;1;4512;0.28;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALEX GALVÃO;PODE;NÃO ELEITO;1;4463;0.28;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALEX RIBEIRO;REPUBLICANOS;SUPLENTE;1;784;0.05;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALEXANDRE LIRA;SOLIDARIEDADE;NÃO ELEITO;1;170;0.01;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALEXANDRE YANEZ;AGIR;SUPLENTE;1;6356;0.4;NAO
2022;DF;BRASÍLIA;Deputado Distrital;ALINE CALADO;PRTB;NÃO ELEITO;1;97;0.01;NAO
