ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ABELHA;PDT;SUPLENTE;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADA NOGUEIRA;PTB;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADEMILSON TREME TREME;AVANTE;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADILSON MENDES;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADRIANE QUILOMBOLA;PT;SUPLENTE;1;4;0.17;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADRIANO BARRETO;PP;SUPLENTE;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADRIANO CARTEIRO;PT;SUPLENTE;1;1;0.04;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ADRIANO GARCIA;PL;SUPLENTE;1;6;0.25;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ALBERTO INÁCIO LULA;PT;SUPLENTE;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ALCIRA BUCKER;PTB;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ALENCAR;PSB;SUPLENTE;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ALINE PANTANEIRA;AVANTE;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;AMARILDO CRUZ;PT;ELEITO POR MÉDIA;1;3;0.12;SIM
2022;MS;ALCINÓPOLIS;Deputado Estadual;AMERICO NICOLATTI;MDB;SUPLENTE;1;1;0.04;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ANA BEATRIZ;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;MS;ALCINÓPOLIS;Deputado Estadual;ANA PERALTA;PL;SUPLENTE;1;0;0.0;NAO
