ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADALTO DE BANDEIRANTES;PTB;SUPLENTE;1;12;0.1;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADEILSO DA SILVA;UNIÃO;SUPLENTE;1;44;0.35;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADELINO FOLLADOR;UNIÃO;SUPLENTE;1;24;0.19;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADILSON DE OLIVEIRA;PSD;SUPLENTE;1;6;0.05;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADRIANA MARTINS;PL;SUPLENTE;1;8;0.06;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADRIANO ALMEIDA;MDB;SUPLENTE;1;4;0.03;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADRIANO BOIADEIRO;AVANTE;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ADRIANO DE CASTRO;AVANTE;NÃO ELEITO;1;10;0.08;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AFFONSO CANDIDO;PL;ELEITO POR QP;1;32;0.26;SIM
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AIRTON GURGACZ;PDT;NÃO ELEITO;1;4;0.03;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AIRTON PROCOPIO;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALAN QUEIROZ;PODE;ELEITO POR QP;1;4;0.03;SIM
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALEX CABELEREIRO DA SAMARITANO;PMB;NÃO ELEITO;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALEX REDANO;REPUBLICANOS;ELEITO POR QP;1;28;0.22;SIM
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALEXANDRA;PC do B;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALTEME FRANCO;PP;SUPLENTE;1;17;0.14;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALVARENGA FORMIGÃO;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ALYSON CUIABANO;AVANTE;NÃO ELEITO;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AMANDA VIANA;AGIR;NÃO ELEITO;1;2;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANA BARROS;PP;SUPLENTE;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANA EMACULADA;PTB;SUPLENTE;1;7;0.06;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANARU MARTINS;PMN;NÃO ELEITO;1;2;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANDERSON DE MATTOS;PP;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANDERSON ELETRICISTA;PTB;SUPLENTE;1;7;0.06;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANDRÉ BRITO PODADOR DE ÁRVORE;PSC;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANGÉLICA;PT;SUPLENTE;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANNE MAMEDES;PDT;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANTÔNIA BEZERRA;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANTÔNIO CUTIA;PSB;SUPLENTE;1;5;0.04;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ANUBIS SIMÕES DA SAÚDE;PSC;SUPLENTE;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;ATAIDE AVEZÃO;PODE;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AUGUSTO NORTEHAIR;PMB;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;AZIZ RAHAL;PATRIOTA;SUPLENTE;1;6;0.05;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BERENICE AZEVEDO;PSB;SUPLENTE;1;2;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BETH BRITO;MDB;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BETÃO DA CADEIRA DE RODAS;AVANTE;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BIA TUPARI;REPUBLICANOS;SUPLENTE;1;21;0.17;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BIBI COELHO;PSC;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BISPO DA PONTA DO ABUNÃ;PMN;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BOMBEIRO GERENILDO;PSC;SUPLENTE;1;3;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;BRIZOLA;PSDB;NÃO ELEITO;1;6;0.05;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CABO ANJOS;AVANTE;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CABO DIÊMISSON;PMB;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CANARINHO;PSC;SUPLENTE;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CAPITÃO BUENO;REPUBLICANOS;SUPLENTE;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CARLINHOS CAMURÇA;PSDB;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CARLOS DAMACENO;PATRIOTA;SUPLENTE;1;2;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CASSIA TAVARES;REPUBLICANOS;SUPLENTE;1;5;0.04;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CAÊ MOURA;PSB;SUPLENTE;1;1;0.01;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CB CLEUMAR;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CELIA CAMPOS DO SINDSAÚDE-RO;UNIÃO;SUPLENTE;1;3;0.02;NAO
2022;RO;ALTA FLORESTA D OESTE;Deputado Estadual;CHICO HOLANDA;UNIÃO;SUPLENTE;1;6;0.05;NAO
