ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ABY;PT;SUPLENTE;1;13;0.63;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ACIOLI DA FARMACIA;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ADAILTON MARTINS;PSD;ELEITO POR MÉDIA;1;0;0.0;SIM
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ADELSON BARRETO;PDT;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ADVOGADA RAQUEL TAVARES;PP;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;AGNALDO MORAL;PSB;NÃO ELEITO;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALAN DE MUNDINHO;PP;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALAN NASCIMENTO;PDT;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALECIO COSTA;PMN;NÃO ELEITO;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALEXANDRE FALCÃO;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALEXANDRE SOARES;PSD;SUPLENTE;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALFANINA;DC;NÃO ELEITO;1;0;0.0;NAO
2022;SE;AMPARO DE SÃO FRANCISCO;Deputado Estadual;ALINE MANGUEIRA;UNIÃO;SUPLENTE;1;0;0.0;NAO
