ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;CE;ABAIARA;Prefeito;ANGIM;PT;ELEITO;1;3429;52.12;SIM
2024;CE;ABAIARA;Prefeito;LULU;PDT;NÃO ELEITO;1;3150;47.88;NAO
2024;CE;ABAIARA;Vereador;ALLAN MYLLER;AGIR;SUPLENTE;1;266;4.25;NAO
2024;CE;ABAIARA;Vereador;ANINHA DE GORETES;AGIR;SUPLENTE;1;10;0.16;NAO
2024;CE;ABAIARA;Vereador;ANINHA DE MARGARETE;MDB;SUPLENTE;1;11;0.18;NAO
2024;CE;ABAIARA;Vereador;BILU;PT;ELEITO POR QP;1;518;8.28;SIM
2024;CE;ABAIARA;Vereador;CHICO COCO;MDB;SUPLENTE;1;8;0.13;NAO
2024;CE;ABAIARA;Vereador;CIÇÃO DA SAÚDE;MDB;SUPLENTE;1;53;0.85;NAO
2024;CE;ABAIARA;Vereador;CLAUDIANE ACS;PT;SUPLENTE;1;148;2.36;NAO
2024;CE;ABAIARA;Vereador;CRIS ACS;AGIR;SUPLENTE;1;80;1.28;NAO
2024;CE;ABAIARA;Vereador;CRISTIANA DE CLÓVIS;MDB;SUPLENTE;1;187;2.99;NAO
2024;CE;ABAIARA;Vereador;CÍCERO KABELO;MDB;SUPLENTE;1;170;2.72;NAO
2024;CE;ABAIARA;Vereador;DAMIÃO SAMPAIO;MDB;SUPLENTE;1;130;2.08;NAO
2024;CE;ABAIARA;Vereador;DEDA JÓ;PT;ELEITO POR QP;1;470;7.51;SIM
2024;CE;ABAIARA;Vereador;DONIZETE;PT;ELEITO POR MÉDIA;1;351;5.61;SIM
2024;CE;ABAIARA;Vereador;EDNA MOREIRA;MDB;SUPLENTE;1;19;0.3;NAO
2024;CE;ABAIARA;Vereador;EDSON BERNARDO;AGIR;ELEITO POR QP;1;455;7.27;SIM
2024;CE;ABAIARA;Vereador;ELISEU MOREIRA;PDT;ELEITO POR MÉDIA;1;343;5.48;SIM
2024;CE;ABAIARA;Vereador;FELIPE DE ZÉ TAVARES;AGIR;SUPLENTE;1;271;4.33;NAO
2024;CE;ABAIARA;Vereador;FRANCISCO DE TINDÔ;PDT;ELEITO POR QP;1;470;7.51;SIM
2024;CE;ABAIARA;Vereador;GERALDO DIODATO;PDT;SUPLENTE;1;254;4.06;NAO
2024;CE;ABAIARA;Vereador;HARRYSON FURTADO;MDB;SUPLENTE;1;72;1.15;NAO
2024;CE;ABAIARA;Vereador;IRENE DE DANDA;PDT;SUPLENTE;1;10;0.16;NAO
2024;CE;ABAIARA;Vereador;ISMAEL GRANGEIRO;PDT;ELEITO POR QP;1;459;7.33;SIM
2024;CE;ABAIARA;Vereador;JOÃO NETO SAMPAIO;MDB;ELEITO POR QP;1;303;4.84;SIM
2024;CE;ABAIARA;Vereador;LUCAS DO OLHO D AGUA;PDT;SUPLENTE;1;96;1.53;NAO
2024;CE;ABAIARA;Vereador;LUCIO DO LAVA JATO;PDT;SUPLENTE;1;57;0.91;NAO
2024;CE;ABAIARA;Vereador;MANOEL ALVES;PT;ELEITO POR QP;1;425;6.79;SIM
2024;CE;ABAIARA;Vereador;MARCELO ALVES;PT;SUPLENTE;1;251;4.01;NAO
2024;CE;ABAIARA;Vereador;MARCELO VAQUEIRO;MDB;SUPLENTE;1;6;0.1;NAO
2024;CE;ABAIARA;Vereador;MARIA DE SULA;PT;SUPLENTE;1;167;2.67;NAO
2024;CE;ABAIARA;Vereador;PASTOR RIBEIRO;AGIR;SUPLENTE;1;25;0.4;NAO
2024;CE;ABAIARA;Vereador;PROFESSORA MARIA ANGÉLICA;PDT;SUPLENTE;1;9;0.14;NAO
2024;CE;ABAIARA;Vereador;SAMARA ENFERMEIRA;PT;SUPLENTE;1;115;1.84;NAO
2024;CE;ABAIARA;Vereador;SANDRA DE CIELDO;AGIR;SUPLENTE;1;5;0.08;NAO
2024;CE;ABAIARA;Vereador;ZILDA DE ZUMIRO;PDT;SUPLENTE;1;16;0.26;NAO
2024;CE;ABAIARA;Vereador;ZÉ DE ANANIAS;PT;SUPLENTE;1;29;0.46;NAO
2024;CE;ACARAPE;Prefeito;EDILBERTO  BESERRA;PSB;ELEITO;1;7153;64.59;SIM
2024;CE;ACARAPE;Prefeito;VIVIAN FREITAS;REPUBLICANOS;NÃO ELEITO;1;3921;35.41;NAO
2024;CE;ACARAPE;Vereador;ADRIANA OLIVEIRA;PSB;SUPLENTE;1;6;0.07;NAO
