ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;PA;ABAETETUBA;Prefeito;ADAMOR BITENCOURT;PP;NÃO ELEITO;1;42336;41.69;NAO
2024;PA;ABAETETUBA;Prefeito;DR GALILEU;REPUBLICANOS;NÃO ELEITO;1;9272;9.13;NAO
2024;PA;ABAETETUBA;Prefeito;EDINHO DO TRANSPORTE;PSB;NÃO ELEITO;1;6345;6.25;NAO
2024;PA;ABAETETUBA;Prefeito;FRANCINETI CARVALHO;MDB;ELEITO;1;42368;41.72;SIM
2024;PA;ABAETETUBA;Prefeito;MARQUINHO DO BANCO;PL;NÃO ELEITO;1;1232;1.21;NAO
2024;PA;ABAETETUBA;Vereador;ADALBAERTO OU DADAL;DC;NÃO ELEITO;1;58;0.06;NAO
2024;PA;ABAETETUBA;Vereador;ADRIANO RÊGO;PSOL;NÃO ELEITO;1;166;0.17;NAO
2024;PA;ABAETETUBA;Vereador;AFONSO METALURGICO;PSDB;SUPLENTE;1;464;0.47;NAO
2024;PA;ABAETETUBA;Vereador;ALAERSO COSTA;DC;NÃO ELEITO;1;56;0.06;NAO
2024;PA;ABAETETUBA;Vereador;ALANZINHO;PP;SUPLENTE;1;426;0.43;NAO
2024;PA;ABAETETUBA;Vereador;ALESSANDRA;PRD;NÃO ELEITO;1;20;0.02;NAO
2024;PA;ABAETETUBA;Vereador;ALEXANDRE;PP;SUPLENTE;1;320;0.32;NAO
2024;PA;ABAETETUBA;Vereador;ALUISIO CORREA;PSDB;ELEITO POR QP;1;2697;2.74;SIM
2024;PA;ABAETETUBA;Vereador;ANDERSON BERROLA;PRD;NÃO ELEITO;1;318;0.32;NAO
2024;PA;ABAETETUBA;Vereador;ANDERSON CARDOSO;PRD;NÃO ELEITO;1;83;0.08;NAO
2024;PA;ABAETETUBA;Vereador;ANDERSON PAZOLA;PODE;SUPLENTE;1;1204;1.22;NAO
2024;PA;ABAETETUBA;Vereador;ANE SOUZA;PSB;NÃO ELEITO;1;102;0.1;NAO
