ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;PB;AGUIAR;Prefeito;STENIEL CABRAL;UNIÃO;NÃO ELEITO;1;556;13.84;NAO
2024;PB;AGUIAR;Prefeito;TINTIN;PSB;ELEITO;1;3460;86.16;SIM
2024;PB;AGUIAR;Vereador;CHARLES;PSB;ELEITO POR QP;1;468;11.83;SIM
2024;PB;AGUIAR;Vereador;CHOCO CASSIMIRO;PSB;ELEITO POR QP;1;364;9.2;SIM
2024;PB;AGUIAR;Vereador;CLEIA DE DÃO;PSB;ELEITO POR QP;1;284;7.18;SIM
2024;PB;AGUIAR;Vereador;DUZINHA;UNIÃO;NÃO ELEITO;1;217;5.49;NAO
2024;PB;AGUIAR;Vereador;JÚNIOR MAIA;PSB;ELEITO POR QP;1;371;9.38;SIM
2024;PB;AGUIAR;Vereador;LARISSA DE BASTO;PSB;ELEITO POR QP;1;585;14.79;SIM
2024;PB;AGUIAR;Vereador;LOURDES REGINA;PSB;SUPLENTE;1;226;5.71;NAO
2024;PB;AGUIAR;Vereador;MARCOS DE DEDÉ;PSB;ELEITO POR QP;1;424;10.72;SIM
2024;PB;AGUIAR;Vereador;MIGUILO;UNIÃO;NÃO ELEITO;1;36;0.91;NAO
2024;PB;AGUIAR;Vereador;TEDINHO CASSIMIRO;PSB;ELEITO POR MÉDIA;1;278;7.03;SIM
2024;PB;AGUIAR;Vereador;WIDERES;PSB;ELEITO POR QP;1;401;10.14;SIM
2024;PB;AGUIAR;Vereador;ZÉ DE SINHOR;PSB;ELEITO POR QP;1;302;7.63;SIM
2024;PB;ALAGOA GRANDE;Prefeito;FERNANDO FORTUNATO;PP;NÃO ELEITO;1;8752;48.56;NAO
2024;PB;ALAGOA GRANDE;Prefeito;NETO CARNEIRO;REPUBLICANOS;ELEITO;1;9191;51.0;SIM
2024;PB;ALAGOA GRANDE;Prefeito;PROFESSOR DR RAFAEL;AGIR;NÃO ELEITO;1;80;0.44;NAO
2024;PB;ALAGOA GRANDE;Vereador;ADAUTO DE MARISA;REPUBLICANOS;SUPLENTE;1;480;2.78;NAO
2024;PB;ALAGOA GRANDE;Vereador;ADRIANO DE FERREIRINHA;PSB;SUPLENTE;1;608;3.52;NAO
2024;PB;ALAGOA GRANDE;Vereador;ALANE DA CAÍANA;PL;NÃO ELEITO;1;4;0.02;NAO
2024;PB;ALAGOA GRANDE;Vereador;ALESSANDRA;PL;NÃO ELEITO;1;41;0.24;NAO
2024;PB;ALAGOA GRANDE;Vereador;ANTONIO DA MACAXEIRA;PL;NÃO ELEITO;1;89;0.52;NAO
2024;PB;ALAGOA GRANDE;Vereador;AQUILLIS DE TATA;REPUBLICANOS;ELEITO POR QP;1;742;4.3;SIM
