ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;PE;ABREU E LIMA;Prefeito;DR MARQUINHOS;PSDB;NÃO ELEITO;1;17360;29.43;NAO
2024;PE;ABREU E LIMA;Prefeito;FLAVIO GADELHA;PSB;ELEITO;1;40589;68.81;SIM
2024;PE;ABREU E LIMA;Prefeito;MANOEL ELIZEU BILO;REDE;NÃO ELEITO;1;448;0.76;NAO
2024;PE;ABREU E LIMA;Prefeito;PROFESSOR JAILTON;MOBILIZA;NÃO ELEITO;1;594;1.01;NAO
2024;PE;ABREU E LIMA;Vereador;ADRIANO DO CARTORIO;PODE;SUPLENTE;1;57;0.09;NAO
2024;PE;ABREU E LIMA;Vereador;AILTON REIS;PP;NÃO ELEITO;1;40;0.07;NAO
2024;PE;ABREU E LIMA;Vereador;ALEX FEITOSA;PSDB;NÃO ELEITO;1;298;0.49;NAO
2024;PE;ABREU E LIMA;Vereador;ALICCE TIMBO;REDE;NÃO ELEITO;1;11;0.02;NAO
2024;PE;ABREU E LIMA;Vereador;ALICE ABREU;AVANTE;NÃO ELEITO;1;46;0.08;NAO
2024;PE;ABREU E LIMA;Vereador;ALLAN RICHARD;PL;NÃO ELEITO;1;121;0.2;NAO
2024;PE;ABREU E LIMA;Vereador;AMAURI DA VERDURA;AVANTE;NÃO ELEITO;1;70;0.11;NAO
2024;PE;ABREU E LIMA;Vereador;ANA BEATRIZ;PSD;NÃO ELEITO;1;33;0.05;NAO
2024;PE;ABREU E LIMA;Vereador;ANA LUCIA;MOBILIZA;NÃO ELEITO;1;1;0.0;NAO
2024;PE;ABREU E LIMA;Vereador;ANA PRISCILA;REDE;NÃO ELEITO;1;16;0.03;NAO
2024;PE;ABREU E LIMA;Vereador;ANAMIAS CAVALCANTE;MDB;SUPLENTE;1;840;1.37;NAO
2024;PE;ABREU E LIMA;Vereador;ARLENE;PSOL;NÃO ELEITO;1;47;0.08;NAO
2024;PE;ABREU E LIMA;Vereador;ARMANDO FERREIRA;PT;SUPLENTE;1;104;0.17;NAO
2024;PE;ABREU E LIMA;Vereador;BETO MOVEIS;MOBILIZA;NÃO ELEITO;1;67;0.11;NAO
2024;PE;ABREU E LIMA;Vereador;BILILIU DE CAETES II;PDT;NÃO ELEITO;1;21;0.03;NAO
2024;PE;ABREU E LIMA;Vereador;BITONHO;PSD;NÃO ELEITO;1;65;0.11;NAO
2024;PE;ABREU E LIMA;Vereador;BRUNO GOMES;PSB;SUPLENTE;1;208;0.34;NAO
2024;PE;ABREU E LIMA;Vereador;CARECA DO GALETO;REDE;NÃO ELEITO;1;41;0.07;NAO
2024;PE;ABREU E LIMA;Vereador;CARLINHOS BARBEIRO;SOLIDARIEDADE;SUPLENTE;1;123;0.2;NAO
2024;PE;ABREU E LIMA;Vereador;CARLOS DO MONTE;PL;NÃO ELEITO;1;129;0.21;NAO
2024;PE;ABREU E LIMA;Vereador;CARLOS PEQUENO;PSB;SUPLENTE;1;382;0.62;NAO
2024;PE;ABREU E LIMA;Vereador;CARMINHA;SOLIDARIEDADE;ELEITO POR QP;1;2319;3.79;SIM
2024;PE;ABREU E LIMA;Vereador;CAU E MARCOS AURÉLIO;PV;ELEITO POR MÉDIA;1;1562;2.55;SIM
2024;PE;ABREU E LIMA;Vereador;CEMA;PP;NÃO ELEITO;1;4;0.01;NAO
2024;PE;ABREU E LIMA;Vereador;CESAR ROMERO;SOLIDARIEDADE;SUPLENTE;1;155;0.25;NAO
2024;PE;ABREU E LIMA;Vereador;CHAGAS MOTO;AVANTE;NÃO ELEITO;1;48;0.08;NAO
2024;PE;ABREU E LIMA;Vereador;CHICO IRMAO DE ZE DO BAR;REDE;NÃO ELEITO;1;36;0.06;NAO
2024;PE;ABREU E LIMA;Vereador;CINTHYA SALES;PV;SUPLENTE;1;24;0.04;NAO
2024;PE;ABREU E LIMA;Vereador;CLAUDEVAM DO PROJETO SHALOM;REPUBLICANOS;SUPLENTE;1;102;0.17;NAO
2024;PE;ABREU E LIMA;Vereador;CLAUDINHA;MDB;SUPLENTE;1;263;0.43;NAO
2024;PE;ABREU E LIMA;Vereador;CLAUDIO GADELHA;PV;SUPLENTE;1;27;0.04;NAO
2024;PE;ABREU E LIMA;Vereador;CONTONETE;REDE;NÃO ELEITO;1;10;0.02;NAO
2024;PE;ABREU E LIMA;Vereador;COSMO ANDRE O POPULAR MAR;PODE;SUPLENTE;1;1877;3.07;NAO
2024;PE;ABREU E LIMA;Vereador;CRIS XE;PV;SUPLENTE;1;15;0.02;NAO
2024;PE;ABREU E LIMA;Vereador;D. LAURA;REDE;NÃO ELEITO;1;20;0.03;NAO
2024;PE;ABREU E LIMA;Vereador;DAMASCENA;PP;NÃO ELEITO;1;44;0.07;NAO
2024;PE;ABREU E LIMA;Vereador;DANIELA PROTETORA DOS ANIMAIS;PL;NÃO ELEITO;1;12;0.02;NAO
2024;PE;ABREU E LIMA;Vereador;DAYSE SANTANA;PSB;SUPLENTE;1;19;0.03;NAO
2024;PE;ABREU E LIMA;Vereador;DEIVSON ALEXANDRE;PSB;SUPLENTE;1;120;0.2;NAO
2024;PE;ABREU E LIMA;Vereador;DIDO ZEBRA;PSD;NÃO ELEITO;1;7;0.01;NAO
2024;PE;ABREU E LIMA;Vereador;DINHO;REDE;NÃO ELEITO;1;28;0.05;NAO
2024;PE;ABREU E LIMA;Vereador;DO COENTRO;PSD;NÃO ELEITO;1;33;0.05;NAO
2024;PE;ABREU E LIMA;Vereador;DR ANTONIO DENTISTA;MDB;SUPLENTE;1;586;0.96;NAO
2024;PE;ABREU E LIMA;Vereador;DR EVERTON ABREU;PSDB;NÃO ELEITO;1;1371;2.24;NAO
2024;PE;ABREU E LIMA;Vereador;DR MIRO;REPUBLICANOS;SUPLENTE;1;551;0.9;NAO
2024;PE;ABREU E LIMA;Vereador;DR WILLIAMS CUNHA;PL;NÃO ELEITO;1;214;0.35;NAO
2024;PE;ABREU E LIMA;Vereador;DRA. ELISÂNGELA CAVALCANTE;SOLIDARIEDADE;SUPLENTE;1;75;0.12;NAO
2024;PE;ABREU E LIMA;Vereador;DUCI FONTES;PSDB;NÃO ELEITO;1;507;0.83;NAO
2024;PE;ABREU E LIMA;Vereador;EDIMAR DO BAR;AVANTE;NÃO ELEITO;1;48;0.08;NAO
