ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;RR;ALTO ALEGRE;Prefeito;OTTACI;PP;NÃO ELEITO;1;4114;36.4;NAO
2024;RR;ALTO ALEGRE;Prefeito;ROSA BENEDETTI;PL;NÃO ELEITO;1;204;1.81;NAO
2024;RR;ALTO ALEGRE;Prefeito;WAGNER NUNES;REPUBLICANOS;ELEITO;1;6983;61.79;SIM
2024;RR;ALTO ALEGRE;Vereador;ADEMARZINHO;PDT;SUPLENTE;1;267;2.41;NAO
2024;RR;ALTO ALEGRE;Vereador;ANDRESA SILVEIRA;PSD;ELEITO POR QP;1;660;5.96;SIM
2024;RR;ALTO ALEGRE;Vereador;AUGUSTINHO PEDROSO;REPUBLICANOS;ELEITO POR QP;1;557;5.03;SIM
2024;RR;ALTO ALEGRE;Vereador;AUGUSTO PEDROSO;PP;NÃO ELEITO;1;7;0.06;NAO
2024;RR;ALTO ALEGRE;Vereador;BONECA DO BOQUEIRÃO;PDT;SUPLENTE;1;35;0.32;NAO
2024;RR;ALTO ALEGRE;Vereador;CHARLES DO POLO;PSD;SUPLENTE;1;470;4.24;NAO
2024;RR;ALTO ALEGRE;Vereador;CHEILA DO AU-AU;PODE;SUPLENTE;1;159;1.43;NAO
2024;RR;ALTO ALEGRE;Vereador;CHILENO DE PAULA;MDB;SUPLENTE;1;63;0.57;NAO
2024;RR;ALTO ALEGRE;Vereador;CÂNDIDO LIRA;PDT;ELEITO POR QP;1;280;2.53;SIM
2024;RR;ALTO ALEGRE;Vereador;DR ELIAQUIM;MDB;SUPLENTE;1;32;0.29;NAO
2024;RR;ALTO ALEGRE;Vereador;DR. VERÔNICA ARAÚJO;REPUBLICANOS;SUPLENTE;1;95;0.86;NAO
2024;RR;ALTO ALEGRE;Vereador;DRA LILIAN;PDT;SUPLENTE;1;109;0.98;NAO
2024;RR;ALTO ALEGRE;Vereador;ELIANA DO RECREAR;MDB;SUPLENTE;1;5;0.05;NAO
2024;RR;ALTO ALEGRE;Vereador;ELIAS FREITAS;PODE;SUPLENTE;1;80;0.72;NAO
2024;RR;ALTO ALEGRE;Vereador;ERILENE;REDE;NÃO ELEITO;1;0;0.0;NAO
2024;RR;ALTO ALEGRE;Vereador;EVANDO MOREIRA;REPUBLICANOS;SUPLENTE;1;99;0.89;NAO
2024;RR;ALTO ALEGRE;Vereador;FERNANDA DE SÁ;MDB;SUPLENTE;1;9;0.08;NAO
2024;RR;ALTO ALEGRE;Vereador;FRANCISCA RODRIGUES;MDB;SUPLENTE;1;87;0.78;NAO
2024;RR;ALTO ALEGRE;Vereador;FÁBIO COSTA;REPUBLICANOS;ELEITO POR QP;1;751;6.78;SIM
2024;RR;ALTO ALEGRE;Vereador;GERSON  XIRIXANA;REPUBLICANOS;SUPLENTE;1;241;2.17;NAO
2024;RR;ALTO ALEGRE;Vereador;JOHNNY DANTAS;MDB;SUPLENTE;1;107;0.97;NAO
2024;RR;ALTO ALEGRE;Vereador;JOSUÉ DA HORTA;PSD;SUPLENTE;1;495;4.47;NAO
2024;RR;ALTO ALEGRE;Vereador;KARINA;PSD;SUPLENTE;1;9;0.08;NAO
