ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;SC;ABDON BATISTA;Prefeito;CLEITO ROBERTO PITZ;PP;NÃO ELEITO;1;1169;48.33;NAO
2024;SC;ABDON BATISTA;Prefeito;LUCIMAR;MDB;ELEITO;1;1250;51.67;SIM
2024;SC;ABDON BATISTA;Vereador;ALESSANDRO TELLES;PODE;SUPLENTE;1;22;0.94;NAO
2024;SC;ABDON BATISTA;Vereador;ALFREDO PALAVRO;PSD;ELEITO POR QP;1;164;6.98;SIM
2024;SC;ABDON BATISTA;Vereador;BIECA;PSDB;NÃO ELEITO;1;21;0.89;NAO
2024;SC;ABDON BATISTA;Vereador;CASCALHO;PP;ELEITO POR QP;1;118;5.03;SIM
2024;SC;ABDON BATISTA;Vereador;CHAIANE;PSD;SUPLENTE;1;5;0.21;NAO
2024;SC;ABDON BATISTA;Vereador;CLAUDIA QUILOMBOLA;MDB;SUPLENTE;1;14;0.6;NAO
2024;SC;ABDON BATISTA;Vereador;CLEYTO COUTO;PSD;SUPLENTE;1;47;2.0;NAO
2024;SC;ABDON BATISTA;Vereador;DILVANE MOCELIN HERMES;PODE;SUPLENTE;1;89;3.79;NAO
2024;SC;ABDON BATISTA;Vereador;EDSON (CIPÓ);MDB;ELEITO POR MÉDIA;1;84;3.58;SIM
2024;SC;ABDON BATISTA;Vereador;ELDER ZANCHETT;PSD;SUPLENTE;1;128;5.45;NAO
2024;SC;ABDON BATISTA;Vereador;HILDO (PINGO);MDB;SUPLENTE;1;65;2.77;NAO
2024;SC;ABDON BATISTA;Vereador;IVONETE GUESSER (VONE);MDB;ELEITO POR QP;1;143;6.09;SIM
2024;SC;ABDON BATISTA;Vereador;JOSELI (JOCE);MDB;SUPLENTE;1;82;3.49;NAO
2024;SC;ABDON BATISTA;Vereador;LUCIANO;MDB;ELEITO POR QP;1;178;7.58;SIM
2024;SC;ABDON BATISTA;Vereador;MARGARIDA (MARGA);MDB;ELEITO POR MÉDIA;1;135;5.75;SIM
2024;SC;ABDON BATISTA;Vereador;MARLENE BUSNELLO;PSD;SUPLENTE;1;25;1.06;NAO
2024;SC;ABDON BATISTA;Vereador;NEIDE NILCEIA AGOSTINI CEREGAT;PP;SUPLENTE;1;55;2.34;NAO
2024;SC;ABDON BATISTA;Vereador;NERCI LESSE;PP;SUPLENTE;1;88;3.75;NAO
2024;SC;ABDON BATISTA;Vereador;NIDE;PSD;ELEITO POR QP;1;166;7.07;SIM
2024;SC;ABDON BATISTA;Vereador;ODAIR (NEGUINHO);MDB;ELEITO POR QP;1;174;7.41;SIM
2024;SC;ABDON BATISTA;Vereador;PACHECO;PT;NÃO ELEITO;1;28;1.19;NAO
2024;SC;ABDON BATISTA;Vereador;RAMILDO;PP;SUPLENTE;1;102;4.34;NAO
2024;SC;ABDON BATISTA;Vereador;RAQUEL;PSDB;NÃO ELEITO;1;79;3.36;NAO
2024;SC;ABDON BATISTA;Vereador;SARGENTO ERON;MDB;SUPLENTE;1;78;3.32;NAO
2024;SC;ABDON BATISTA;Vereador;SILVANA MECABO;PP;SUPLENTE;1;15;0.64;NAO
2024;SC;ABDON BATISTA;Vereador;SUZANA;PT;NÃO ELEITO;1;3;0.13;NAO
2024;SC;ABDON BATISTA;Vereador;TONINHO;PSDB;NÃO ELEITO;1;96;4.09;NAO
2024;SC;ABDON BATISTA;Vereador;VALDETE- VAL;MDB;SUPLENTE;1;36;1.53;NAO
2024;SC;ABDON BATISTA;Vereador;WILSON VIEIRA;PODE;ELEITO POR MÉDIA;1;108;4.6;SIM
2024;SC;ABELARDO LUZ;Prefeito;CAVASSINI;PL;NÃO ELEITO;1;4548;47.57;NAO
2024;SC;ABELARDO LUZ;Prefeito;SANTIN;MDB;ELEITO;1;5013;52.43;SIM
2024;SC;ABELARDO LUZ;Vereador;ADILSON NECKER;PP;SUPLENTE;1;58;0.63;NAO
2024;SC;ABELARDO LUZ;Vereador;ALZO BRIZOLA;PT;ELEITO POR QP;1;356;3.84;SIM
2024;SC;ABELARDO LUZ;Vereador;ANDREA;PL;SUPLENTE;1;203;2.19;NAO
2024;SC;ABELARDO LUZ;Vereador;BEL ANDRADE;MDB;SUPLENTE;1;246;2.65;NAO
2024;SC;ABELARDO LUZ;Vereador;BICA;PL;ELEITO POR MÉDIA;1;304;3.28;SIM
2024;SC;ABELARDO LUZ;Vereador;BOTINHA;PL;SUPLENTE;1;44;0.47;NAO
2024;SC;ABELARDO LUZ;Vereador;CARLA ANTUNES;MDB;SUPLENTE;1;199;2.15;NAO
2024;SC;ABELARDO LUZ;Vereador;CARLA FREITAS;MDB;SUPLENTE;1;32;0.35;NAO
2024;SC;ABELARDO LUZ;Vereador;CARLINHOS;MDB;ELEITO POR MÉDIA;1;262;2.83;SIM
2024;SC;ABELARDO LUZ;Vereador;CARMEN PICCOLI;PT;SUPLENTE;1;115;1.24;NAO
2024;SC;ABELARDO LUZ;Vereador;CASSI;MDB;SUPLENTE;1;257;2.77;NAO
2024;SC;ABELARDO LUZ;Vereador;CELSO DEROSSI;PP;SUPLENTE;1;104;1.12;NAO
2024;SC;ABELARDO LUZ;Vereador;CESAR;PT;SUPLENTE;1;257;2.77;NAO
2024;SC;ABELARDO LUZ;Vereador;CHICO BOMBA;PP;SUPLENTE;1;108;1.16;NAO
2024;SC;ABELARDO LUZ;Vereador;CLAUDE SPEROTO;PL;SUPLENTE;1;105;1.13;NAO
2024;SC;ABELARDO LUZ;Vereador;CLEU TIEPO;PSD;SUPLENTE;1;63;0.68;NAO
2024;SC;ABELARDO LUZ;Vereador;DANI MAIA;PSD;SUPLENTE;1;85;0.92;NAO
2024;SC;ABELARDO LUZ;Vereador;DANI SOUZA;PP;SUPLENTE;1;131;1.41;NAO
2024;SC;ABELARDO LUZ;Vereador;DEMA DA ELETRONICA;PSD;ELEITO POR QP;1;481;5.19;SIM
2024;SC;ABELARDO LUZ;Vereador;DIOMAR OLIVEIRA;PP;SUPLENTE;1;6;0.06;NAO
2024;SC;ABELARDO LUZ;Vereador;DUTRA;MDB;SUPLENTE;1;125;1.35;NAO
2024;SC;ABELARDO LUZ;Vereador;ELIZANDRA;PT;SUPLENTE;1;100;1.08;NAO
2024;SC;ABELARDO LUZ;Vereador;ERVINO BULCÃO;PP;SUPLENTE;1;20;0.22;NAO
2024;SC;ABELARDO LUZ;Vereador;FIFO;PSD;SUPLENTE;1;177;1.91;NAO
2024;SC;ABELARDO LUZ;Vereador;HORACINHO FORTES;PP;ELEITO POR QP;1;354;3.82;SIM
2024;SC;ABELARDO LUZ;Vereador;IVETE;PL;SUPLENTE;1;142;1.53;NAO
2024;SC;ABELARDO LUZ;Vereador;JOHNNY;PSD;SUPLENTE;1;13;0.14;NAO
2024;SC;ABELARDO LUZ;Vereador;JORGE O LEVITA;PT;SUPLENTE;1;76;0.82;NAO
2024;SC;ABELARDO LUZ;Vereador;LEVI;PT;SUPLENTE;1;265;2.86;NAO
2024;SC;ABELARDO LUZ;Vereador;LUCIANE NADIN;PL;SUPLENTE;1;112;1.21;NAO
2024;SC;ABELARDO LUZ;Vereador;LUCIMARA CORVALAN;PSD;SUPLENTE;1;26;0.28;NAO
2024;SC;ABELARDO LUZ;Vereador;MARCELINO RAMOS;PL;SUPLENTE;1;25;0.27;NAO
2024;SC;ABELARDO LUZ;Vereador;MARCIL POMPEO (POMPEOZINHO);PSD;SUPLENTE;1;98;1.06;NAO
2024;SC;ABELARDO LUZ;Vereador;MARIA LUZIA;PSD;SUPLENTE;1;29;0.31;NAO
2024;SC;ABELARDO LUZ;Vereador;MARLISE;PSD;SUPLENTE;1;15;0.16;NAO
2024;SC;ABELARDO LUZ;Vereador;MARLON BOITA;MDB;ELEITO POR QP;1;297;3.2;SIM
2024;SC;ABELARDO LUZ;Vereador;MARQUINHOS;MDB;SUPLENTE;1;95;1.02;NAO
2024;SC;ABELARDO LUZ;Vereador;MATHEUS TESTA;PL;ELEITO POR QP;1;383;4.13;SIM
2024;SC;ABELARDO LUZ;Vereador;NASCIMENTO;PP;SUPLENTE;1;6;0.06;NAO
2024;SC;ABELARDO LUZ;Vereador;NATO;MDB;SUPLENTE;1;170;1.83;NAO
2024;SC;ABELARDO LUZ;Vereador;NETI MARCOLAN;PT;SUPLENTE;1;45;0.49;NAO
2024;SC;ABELARDO LUZ;Vereador;NOEMI ZANCHET;PP;SUPLENTE;1;233;2.51;NAO
2024;SC;ABELARDO LUZ;Vereador;OTILIO DA CAMARA PADEIRO;MDB;SUPLENTE;1;146;1.57;NAO
2024;SC;ABELARDO LUZ;Vereador;PASTORZINHO;PSD;SUPLENTE;1;8;0.09;NAO
2024;SC;ABELARDO LUZ;Vereador;PENSIN;PSD;SUPLENTE;1;144;1.55;NAO
2024;SC;ABELARDO LUZ;Vereador;POLICIAL RUBI;PL;ELEITO POR QP;1;330;3.56;SIM
2024;SC;ABELARDO LUZ;Vereador;PROFESSORA CLEUSA;PT;SUPLENTE;1;79;0.85;NAO
2024;SC;ABELARDO LUZ;Vereador;PROFESSORA HILMA;PT;SUPLENTE;1;26;0.28;NAO
