ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2024;TO;ABREULÂNDIA;Prefeito;MANOEL MOURA;PT;ELEITO;1;1821;100.0;SIM
2024;TO;ABREULÂNDIA;Vereador;CELIVÂNIA;PV;ELEITO POR QP;1;215;10.78;SIM
2024;TO;ABREULÂNDIA;Vereador;DINAMILTON MACHALEGRE;PT;ELEITO POR QP;1;171;8.58;SIM
2024;TO;ABREULÂNDIA;Vereador;EDILSON NEGREIROS;PV;SUPLENTE;1;103;5.17;NAO
2024;TO;ABREULÂNDIA;Vereador;ELDISON CUNHA;PV;ELEITO POR QP;1;132;6.62;SIM
2024;TO;ABREULÂNDIA;Vereador;IARA CHRISTINA;PV;SUPLENTE;1;36;1.81;NAO
2024;TO;ABREULÂNDIA;Vereador;LAURINDA;UNIÃO;ELEITO POR QP;1;153;7.67;SIM
2024;TO;ABREULÂNDIA;Vereador;LEANDRO;UNIÃO;SUPLENTE;1;57;2.86;NAO
2024;TO;ABREULÂNDIA;Vereador;LEOMAN MEDRADO;UNIÃO;ELEITO POR QP;1;180;9.03;SIM
2024;TO;ABREULÂNDIA;Vereador;MEL PAIVA;UNIÃO;SUPLENTE;1;11;0.55;NAO
2024;TO;ABREULÂNDIA;Vereador;NETO MACHALEGRE;UNIÃO;ELEITO POR MÉDIA;1;121;6.07;SIM
2024;TO;ABREULÂNDIA;Vereador;NONATIM;PV;ELEITO POR QP;1;219;10.98;SIM
2024;TO;ABREULÂNDIA;Vereador;PROFESSORA EDNAURA;UNIÃO;ELEITO POR QP;1;170;8.53;SIM
2024;TO;ABREULÂNDIA;Vereador;PROFESSORA MÔNICA;PT;SUPLENTE;1;131;6.57;NAO
2024;TO;ABREULÂNDIA;Vereador;REGIANE ABREU;UNIÃO;SUPLENTE;1;115;5.77;NAO
2024;TO;ABREULÂNDIA;Vereador;WILLIAN MOURA;PT;ELEITO POR QP;1;180;9.03;SIM
2024;TO;AGUIARNÓPOLIS;Prefeito;IVAN PAZ;MDB;NÃO ELEITO;1;1024;30.56;NAO
2024;TO;AGUIARNÓPOLIS;Prefeito;WANDERLY LEITE;REPUBLICANOS;ELEITO;1;2327;69.44;SIM
2024;TO;AGUIARNÓPOLIS;Vereador;AURI DIAS DO POSTIM;REPUBLICANOS;SUPLENTE;1;32;0.98;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;BIRATAN;PSDB;SUPLENTE;1;21;0.64;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;CLEUDE DO OSMAR;MDB;SUPLENTE;1;9;0.27;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;CONCEIÇÃO DO PA VITÓRIA;MDB;SUPLENTE;1;13;0.4;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;CUTIA;MDB;SUPLENTE;1;9;0.27;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;ELIAS JUNIOR;REPUBLICANOS;ELEITO POR QP;1;206;6.28;SIM
2024;TO;AGUIARNÓPOLIS;Vereador;ESTELIA LIMA;PT;NÃO ELEITO;1;2;0.06;NAO
2024;TO;AGUIARNÓPOLIS;Vereador;GEAN CARECA;MDB;ELEITO POR MÉDIA;1;154;4.69;SIM
2024;TO;AGUIARNÓPOLIS;Vereador;GRAZI CABRAL;MDB;NÃO ELEITO;1;0;0.0;NAO
