NM_VOTAVEL,CARGO,QT_VOTOS
BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA,DEPUTADO ESTADUAL,637412
BEATRIZ DA SILVA CERQUEIRA,DEPUTADO ESTADUAL,248664
CASSIO ANTONIO FERREIRA SOARES,DEPUTADO ESTADUAL,132382
ANTONIO CARLOS ARANTES,DEPUTADO ESTADUAL,119686
MAURO HENRIQUE TRAMONTE,DEPUTADO ESTADUAL,110741
ARLEN DE PAULO SANTIAGO FILHO,DEPUTADO ESTADUAL,107236
NORALDINO LUCIO DIAS JUNIOR,DEPUTADO ESTADUAL,104552
LEANDRO ANDRADE GENARO OLIVEIRA,DEPUTADO ESTADUAL,101190
FABIO JOSE DE OLIVEIRA,DEPUTADO ESTADUAL,99317
LUIZ TADEU MARTINS LEITE,DEPUTADO ESTADUAL,96862
TITO BRUNO MIRANDA TORRES DUARTE,DEPUTADO ESTADUAL,96811
GUSTAVO DA CUNHA PEREIRA VALADARES,DEPUTADO ESTADUAL,96714
ULYSSES GOMES DE OLIVEIRA NETO,DEPUTADO ESTADUAL,95598
EDUARDO HENRIQUE DE AZEVEDO,DEPUTADO ESTADUAL,92624
CRISTIANO TADEU DA SILVEIRA,DEPUTADO ESTADUAL,90271
GILBERTO WAGNER MARTINS PEREIRA ANTUNES,DEPUTADO ESTADUAL,88393
NEILANDO ALVES PIMENTA,DEPUTADO ESTADUAL,85364
JEAN MARK FREIRE SILVA,DEPUTADO ESTADUAL,84489
CHRISTIANO AUGUSTO XAVIER FERREIRA,DEPUTADO ESTADUAL,83535
ELISMAR FERNANDES PRADO,DEPUTADO ESTADUAL,83344
CARLOS HENRIQUE ALVES DA SILVA,DEPUTADO ESTADUAL,82881
IONE MARIA PINHEIRO,DEPUTADO ESTADUAL,80136
MÁRIO HENRIQUE DA SILVA,DEPUTADO ESTADUAL,76360
RAUL JOSE DE BELEM,DEPUTADO ESTADUAL,76329
WASHINGTON FERNANDO RODRIGUES,DEPUTADO ESTADUAL,76039
JOÃO LÚCIO MAGALHÃES BIFANO,DEPUTADO ESTADUAL,75285
DOORGAL GUSTAVO SAD LAFAYETTE DE ANDRADA,DEPUTADO ESTADUAL,73338
JOSE GUILHERME FERREIRA FILHO,DEPUTADO ESTADUAL,72376
NACIB DUARTE BECHIR,DEPUTADO ESTADUAL,71880
JOÃO BOSCO,DEPUTADO ESTADUAL,70807
PAULO VALDIR FERREIRA,DEPUTADO ESTADUAL,70569
ENES CANDIDO DAMACENA JUNIOR,DEPUTADO ESTADUAL,70472
MARCOS JOSERALDO LEMOS,DEPUTADO ESTADUAL,69374
LEONÍDIO HENRIQUE CORREA BOUÇAS,DEPUTADO ESTADUAL,69355
LOHANNA SOUZA FRANÇA MOREIRA DE OLIVEIRA,DEPUTADO ESTADUAL,67178
WILSON ROBERTO BATISTA,DEPUTADO ESTADUAL,66481
MARILENE ALVES DE SOUZA,DEPUTADO ESTADUAL,65864
SANDRO LÚCIO FONSECA,DEPUTADO ESTADUAL,65173
THIAGO FELLIPE MOTTA COTA,DEPUTADO ESTADUAL,64944
JEFERSON DOUGLAS SOARES ESTANISLAU,DEPUTADO ESTADUAL,64170
JOÃO VITOR XAVIER FAUSTINO,DEPUTADO ESTADUAL,62597
DALMO ROBERTO RIBEIRO SILVA,DEPUTADO ESTADUAL,62236
ROBERTO CUPOLILLO,DEPUTADO ESTADUAL,62169
CHARLES DOS SANTOS,DEPUTADO ESTADUAL,61727
ARNALDO SILVA JÚNIOR,DEPUTADO ESTADUAL,61059
ALENCAR MAGALHAES DA SILVEIRA JÚNIOR,DEPUTADO ESTADUAL,60283
RAFAEL MARTINS DE SOUZA,DEPUTADO ESTADUAL,60142
LUDIMILA FONSECA AZEVEDO FALCAO,DEPUTADO ESTADUAL,59381
SHEILA APARECIDA PEDROSA DE MELLO OLIVEIRA,DEPUTADO ESTADUAL,58003
RUBENS GONÇALVES DE BRITO,DEPUTADO ESTADUAL,57217
ROBERTO DIAS DE ANDRADE,DEPUTADO ESTADUAL,54120
VITORIO FILHO RIBEIRO,DEPUTADO ESTADUAL,53135
CRISTIANO CAPOREZZO ARAUJO PIRES FERREIRA,DEPUTADO ESTADUAL,52168
MAURÍCIO LEMES DE CARVALHO,DEPUTADO ESTADUAL,52025
JOSÉ LAVIOLA NETO DE LIRA,DEPUTADO ESTADUAL,51913
ANDREIA DE JESUS SILVA,DEPUTADO ESTADUAL,51120
MACAÉ MARIA EVARISTO DOS SANTOS,DEPUTADO ESTADUAL,50416
JOSE REIS NOGUEIRA DE BARROS,DEPUTADO ESTADUAL,48773
GUSTAVO MARQUES CARVALHO MITRE,DEPUTADO ESTADUAL,48562
LUIZ ANTONIO DA SILVA,DEPUTADO ESTADUAL,47644
CLEITON DE OLIVEIRA,DEPUTADO ESTADUAL,47184
ALBERTO PINTO COELHO NETO,DEPUTADO ESTADUAL,45113
WENDEL CRISTIANO SOARES DE MESQUITA,DEPUTADO ESTADUAL,44885
NAYARA ROCHA PERDIGAO LARA,DEPUTADO ESTADUAL,44619
MAKOTO EDISON SEKITA,DEPUTADO ESTADUAL,44457
JOSÉ CÉLIO DE ALVARENGA,DEPUTADO ESTADUAL,44262
ISABELLA GONÇALVES MIRANDA,DEPUTADO ESTADUAL,43768
RICARDO AUGUSTO DA COSTA CAMPOS,DEPUTADO ESTADUAL,43690
GUSTAVO DE VASCONCELLOS MOREIRA,DEPUTADO ESTADUAL,43282
WHELTON PIMENTEL DE FREITAS,DEPUTADO ESTADUAL,43143
ANTÔNIO CARLOS SILVA NUNES,DEPUTADO ESTADUAL,42656
MARIA CLARA MATOS MARRA,DEPUTADO ESTADUAL,42415
ALESSANDRA DINIZ PORTELA SILVEIRA,DEPUTADO ESTADUAL,42179
ADALCLEVER RIBEIRO LOPES,DEPUTADO ESTADUAL,40974
BERNARDO MUCIDA OLIVEIRA,DEPUTADO ESTADUAL,40815
OSVALDO LOPES DE OLIVEIRA JUNIOR,DEPUTADO ESTADUAL,40015
JOÃO LEITE DA SILVA NETO,DEPUTADO ESTADUAL,39835
