NM_VOTAVEL,CARGO,QT_VOTOS
NIKOLAS FERREIRA DE OLIVEIRA,DEPUTADO FEDERAL,1492047
ANDRE LUIS GASPAR JANONES,DEPUTADO FEDERAL,238967
DUDA SALABERT ROSA,DEPUTADO FEDERAL,208332
REGINALDO LÁZARO DE OLIVEIRA LOPES,DEPUTADO FEDERAL,196760
ROGÉRIO CORREIA DE MOURA BAPTISTA,DEPUTADO FEDERAL,185918
DIEGO LEONARDO DE ANDRADE CARVALHO,DEPUTADO FEDERAL,170181
FREDERICO BORGES DA COSTA,DEPUTADO FEDERAL,158453
JOSÉ VITOR DE RESENDE AGUIAR,DEPUTADO FEDERAL,152748
MISAEL ARTUR FERREIRA VARELLA,DEPUTADO FEDERAL,149398
RAFAEL TADEU SIMÕES,DEPUTADO FEDERAL,144924
ANTONIO PINHEIRO NETO,DEPUTADO FEDERAL,136575
PAULO JOSÉ CARLOS GUEDES,DEPUTADO FEDERAL,134494
ODAIR JOSÉ DA CUNHA,DEPUTADO FEDERAL,129146
WELITON FERNANDES PRADO,DEPUTADO FEDERAL,126214
GILBERTO APARECIDO ABRAMO,DEPUTADO FEDERAL,123370
HERCILIO ARAUJO DINIZ FILHO,DEPUTADO FEDERAL,122819
RODRIGO BATISTA DE CASTRO,DEPUTADO FEDERAL,122571
EMIDIO ALVES MADEIRA JUNIOR,DEPUTADO FEDERAL,119101
GREYCE DE QUEIROZ ELIAS,DEPUTADO FEDERAL,110346
LUIS HENRIQUE DE OLIVEIRA RESENDE,DEPUTADO FEDERAL,107523
PAULO ABI-ACKEL,DEPUTADO FEDERAL,105383
NEWTON CARDOSO JÚNIOR,DEPUTADO FEDERAL,103056
EUCLYDES MARCOS PETTERSEN NETO,DEPUTADO FEDERAL,101892
CÉLIA NUNES CORREA,DEPUTADO FEDERAL,101154
BRUNO SOUZA FARIAS,DEPUTADO FEDERAL,97246
STEFANO AGUIAR DOS SANTOS,DEPUTADO FEDERAL,96503
DIMAS FABIANO TOLEDO JUNIOR,DEPUTADO FEDERAL,96395
DOMINGOS SÁVIO CAMPOS RESENDE,DEPUTADO FEDERAL,90236
PEDRO DOSHIKAZU PIANCHAO AIHARA,DEPUTADO FEDERAL,89404
PATRUS ANANIAS DE SOUSA,DEPUTADO FEDERAL,87893
JOSÉ SILVA SOARES,DEPUTADO FEDERAL,86042
DANDARA TONANTZIN SILVA CASTRO,DEPUTADO FEDERAL,86034
JOÃO CARLOS SIQUEIRA,DEPUTADO FEDERAL,85718
AÉCIO NEVES DA CUNHA,DEPUTADO FEDERAL,85341
FREDERICO DE CASTRO ESCALEIRA,DEPUTADO FEDERAL,84771
MIGUEL ÂNGELO MONTEIRO ANDRADE,DEPUTADO FEDERAL,84173
MAURICIO LUIZ DE SOUZA,DEPUTADO FEDERAL,83396
MARCELO EDUARDO FREITAS,DEPUTADO FEDERAL,82894
JOSÉ LEONARDO COSTA MONTEIRO,DEPUTADO FEDERAL,81008
ANA PAULA PROCOPIO JUNQUEIRA,DEPUTADO FEDERAL,77990
EROS FERREIRA BIONDINI,DEPUTADO FEDERAL,77900
FABIO AUGUSTO RAMALHO DOS SANTOS,DEPUTADO FEDERAL,77604
IGOR TARCIANO TIMO,DEPUTADO FEDERAL,74465
ANA CRISTINA DE LIMA PIMENTEL,DEPUTADO FEDERAL,72698
FRANCO CARTAFINA GOMES,DEPUTADO FEDERAL,72086
MAURO RIBEIRO LOPES,DEPUTADO FEDERAL,69034
MÁRIO LÚCIO HERINGER,DEPUTADO FEDERAL,68717
LAFAYETTE LUIZ DOORGAL DE ANDRADA,DEPUTADO FEDERAL,68677
BRAULIO JOSE TANUS BRAZ,DEPUTADO FEDERAL,68665
LUIZ FERNANDO RAMOS FARIA,DEPUTADO FEDERAL,68550
NELI PEREIRA DE AQUINO,DEPUTADO FEDERAL,66866
SAMUEL JOSÉ RODRIGUES DE VIANA,DEPUTADO FEDERAL,62704
EDUARDO LUIZ BARROS BARBOSA,DEPUTADO FEDERAL,61200
