NM_VOTAVEL,DS_CARGO,QT_VOTOS
WANDERLEI LEMES SANTOS,PREFEITO,2792
ARMANDO GRECO FILHO,PREFEITO,9948
MÁRCIO MOREIRA VICTOR,PREFEITO,4939
LUIZ CARLOS FAUSTINO,PREFEITO,1555
SEBASTIÃO ELOI DE SOUZA CAMPOS,PREFEITO,1817
MARCELO MARQUES,PREFEITO,8107
PAULO ROBERTO SENADOR,PREFEITO,2638
JULIANO DINIZ DE OLIVEIRA,PREFEITO,1312
JOÃO PAULO FACANALI DE OLIVEIRA,PREFEITO,1503
LUIZ ANTONIO DA SILVA,PREFEITO,17596
JOSE VICENTE BARBOSA,PREFEITO,3082
ADEMIR COSTA GOBIRA,PREFEITO,10734
VALMIR FARIA DA SILVA,PREFEITO,2368
JOSÉ GABRIEL DOS SANTOS FILHO,PREFEITO,6506
HERMES DE SOUZA SILVA,PREFEITO,4914
JOSÉ GOMES MONTEIRO,PREFEITO,2473
MARCO ANTONIO LOPES,PREFEITO,3718
WILSON TEIXEIRA GONÇALVES FILHO,PREFEITO,4125
DIOCELIO FERNANDO RIBEIRO,PREFEITO,2099
JOÃO BATISTA MATEUS DE MORAES,PREFEITO,5641
DANILIO CLÉSSIO FERREIRA,PREFEITO,1931
MIGUEL BELMIRO DE SOUZA JUNIOR,PREFEITO,13534
ASTOLFO GOMES FUSCALDI,PREFEITO,1906
RODRIGO APARECIDO LOPES,PREFEITO,14687
FRANCISCO CARLOS RIVELLI,PREFEITO,4751
JOÃO PAULO BATISTA DE SOUZA,PREFEITO,2559
RAIMUNDO NONATO MARQUES,PREFEITO,4331
WILLIAM ROBSON MARQUES FRAGA,PREFEITO,3905
WELISON SIMA DA FONSECA,PREFEITO,1050
FÁBIO ALFEU DA SILVA,PREFEITO,1110
MARCOS COELHO DE CARVALHO,PREFEITO,30442
FRANCISCO CARLOS FERREIRA ALVES,PREFEITO,1213
LUIZ HENRIQUE MACEDO TEIXEIRA,PREFEITO,3197
RENATA CRISTINA SILVA BORGES,PREFEITO,2958
JOÃO BATISTA TERTO DA CUNHA,PREFEITO,1687
ARACELY DE PAULA,PREFEITO,30398
ALESSANDRO GUIMARÃES SAMPAIO,PREFEITO,1089
ARMANDO JARDIM PAIXÃO,PREFEITO,8851
FRANCISCO CLEBER VIEIRA DE AQUINO,PREFEITO,3149
GILSON PEREIRA DE MELLO,PREFEITO,4098
DENILSON FRANCISCO TEIXEIRA,PREFEITO,10802
PEDRO FRANCISCO DA SILVA,PREFEITO,3331
CARLOS AURELIO CARMINATE ALMEIDA,PREFEITO,1324
ORLANDO CORDEIRO OLIVEIRA,PREFEITO,1865
CARLOS ALBERTO RECCH FILHO,PREFEITO,5308
BRUNO RIBEIRO,PREFEITO,4562
TARIK BARBOSA,PREFEITO,5550
JOAO CARLOS BATISTA BORGES,PREFEITO,1443
DARCIRA DE SOUZA PEREIRA,PREFEITO,2531
HILTON LUIZ DE CARVALHO ROLLO,PREFEITO,6131
JOÃO ANTONIO DA TRINDADE,PREFEITO,2459
OLIVIO JOSÉ TEIXEIRA,PREFEITO,5278
ANTONIO RODRIGUES DOS SANTOS,PREFEITO,1947
JOSÉ DOS SANTOS,PREFEITO,2840
LUIS ÁLVARO ABRANTES CAMPOS,PREFEITO,14291
ELÍSIO PEREIRA BARRETO,PREFEITO,1845
REINALDO APARECIDA FONSECA,PREFEITO,7094
DÉCIO GERALDO DOS SANTOS,PREFEITO,10282
ALEXANDRE PEREIRA MOREIRA NERES,PREFEITO,2719
WILBER JOSE DE SOUZA,PREFEITO,3684
AFONSO HENRIQUE CARVALHO FERREIRA,PREFEITO,1411
JOÃO LEITE DA SILVA NETO,PREFEITO,953308
HAMILTON ROMULO DE MENEZES CARVALHO,PREFEITO,6689
JOSÉ LAPA DOS SANTOS,PREFEITO,5452
LÁZARO PEREIRA NEVES,PREFEITO,3435
JOAO CARLOS LUCAS LOPES,PREFEITO,1699
ARISTIDES ANGELO ROSSI DEPOLO,PREFEITO,1622
