NM_MUNICIPIO,NM_VOTAVEL,DS_CARGO,QT_VOTOS,ELEITO
ABADIA DOS DOURADOS,VAGNER TOMAZ DE SOUZA,PREFEITO,2044,NAO
ABADIA DOS DOURADOS,WANDERLEI LEMES SANTOS,PREFEITO,2642,SIM (2020)
ABAETÉ,CLAUDIO DE SOUSA VALADARES,PREFEITO,3132,NAO
ABAETÉ,FERNANDO HENRIQUE GUIMARÃES,PREFEITO,286,NAO
ABAETÉ,IVANIR DELADIER DA COSTA,PREFEITO,5014,SIM (2020)
ABAETÉ,ROSA MARIA MARQUES DA CUNHA,PREFEITO,470,NAO
ABAETÉ,WILSON MARCELO DA SILVA,PREFEITO,4900,NAO
ABRE CAMPO,JOSE CLAUDIO PEREIRA,PREFEITO,2722,NAO
ABRE CAMPO,VITOR HENRIQUE MOREIRA FERREIRA DE OLIVEIRA,PREFEITO,5809,SIM (2020)
ACAIACA,BENEDITO CASTRO DE ALMEIDA,PREFEITO,46,NAO
ACAIACA,JOSÉ CALIXTO MILAGRES,PREFEITO,1206,NAO
ACAIACA,LUIZ CARLOS FAUSTINO,PREFEITO,1521,SIM (2020)
AGUANIL,JOSE MARCIO DE OLIVEIRA,PREFEITO,2331,SIM (2020)
AIMORÉS,ADEMILSON PAULO FAIER,PREFEITO,120,NAO
AIMORÉS,ADRIANO GARCIA,PREFEITO,4305,NAO
AIMORÉS,MARCELO MARQUES,PREFEITO,8207,SIM (2020)
AIMORÉS,RENATO TEIXEIRA DE MOURA,PREFEITO,963,NAO
AIURUOCA,ERLISSON VITOR LOPES,PREFEITO,1623,SIM (2020)
AIURUOCA,EVERALDO XAVIER DINIZ CAMPOS,PREFEITO,535,NAO
AIURUOCA,HELDER DE CARVALHO CORREA,PREFEITO,1375,NAO
AIURUOCA,MÁRCIO MUNIZ FERNANDES,PREFEITO,152,NAO
ALAGOA,JULIANO DINIZ DE OLIVEIRA,PREFEITO,1598,SIM (2020)
ALBERTINA,JOÃO PAULO FACANALI DE OLIVEIRA,PREFEITO,1301,SIM (2020)
ALBERTINA,NOEMI SIMIONATTO GUINESI,PREFEITO,1019,NAO
ALFENAS,AMADEU QUINTANILHA PELOSO,PREFEITO,12004,NAO
ALFENAS,ITAMAR SILVA,PREFEITO,56,NAO
ALFENAS,JOVANE DE SOUZA MOREIRA JUNIOR,PREFEITO,1165,NAO
ALFENAS,LUIZ ANTONIO DA SILVA,PREFEITO,21862,SIM (2020)
ALFENAS,MARCO ANTÔNIO GOMES DE CARVALHO,PREFEITO,583,NAO
ALFENAS,PEDRO ALENCAR AZEVEDO,PREFEITO,2549,NAO
ALFENAS,POMPILIO DE LOURDES CANAVEZ,PREFEITO,845,NAO
ALFENAS,WALDEMILSON GUSTAVO BASSOTO,PREFEITO,554,NAO
ALFREDO VASCONCELOS,MAURO CESAR DE OLIVEIRA,PREFEITO,2056,SIM (2020)
ALFREDO VASCONCELOS,MÁRIO RAIMUNDO DE MELO,PREFEITO,370,NAO
ALFREDO VASCONCELOS,NIRLÉIA MILAGRES COELHO SILVA,PREFEITO,276,NAO
ALFREDO VASCONCELOS,OLACIR ELY DA SILVA,PREFEITO,1939,NAO
ALMENARA,ADEMIR COSTA GOBIRA,PREFEITO,16898,SIM (2020)
ALMENARA,ANTONIO FERNANDO PEREIRA DOS SANTOS,PREFEITO,236,NAO
