NM_MUNICIPIO,NM_VOTAVEL,DS_CARGO,QT_VOTOS,ELEITO
ABADIA DOS DOURADOS,AMILTON LEMES MUNDIM,VEREADOR,64,NAO
ABADIA DOS DOURADOS,ANA MARIA CORREIA DA PAIXÃO,VEREADOR,5,NAO
ABADIA DOS DOURADOS,ANCELMO MARRA DE ASSUNÇÃO,VEREADOR,232,NAO
ABADIA DOS DOURADOS,ANCELMO RODRIGUES DE MELO,VEREADOR,170,NAO
ABADIA DOS DOURADOS,ANGELA MARIA DE BARROS,VEREADOR,198,NAO
ABADIA DOS DOURADOS,DANIEL ESTEVES MACHADO,VEREADOR,39,NAO
ABADIA DOS DOURADOS,DUNALVO ALVES DA SILVA,VEREADOR,221,NAO
ABADIA DOS DOURADOS,ELISMEIRE CRISTINA MARQUES DUARTE,VEREADOR,124,NAO
ABADIA DOS DOURADOS,GERALDO LUIZ BATISTA,VEREADOR,351,NAO
ABADIA DOS DOURADOS,GILVANE VARGAS DE MELO,VEREADOR,265,NAO
ABADIA DOS DOURADOS,GLEICE ROSA MESSIAS PINHEIRO,VEREADOR,20,NAO
ABADIA DOS DOURADOS,GUSTAVO RABELO NETO,VEREADOR,66,NAO
ABADIA DOS DOURADOS,JONAS CAETANO FILGUEIRA,VEREADOR,201,NAO
ABADIA DOS DOURADOS,JOSÉ RAMOS DA SILVA SOBRINHO,VEREADOR,282,NAO
ABADIA DOS DOURADOS,JOÃO LUIZ DUARTE,VEREADOR,81,NAO
ABADIA DOS DOURADOS,MARCOS ANTONIO BORGES,VEREADOR,83,NAO
ABADIA DOS DOURADOS,MARIA APARECIDA DE JESUS RESENDE,VEREADOR,140,NAO
ABADIA DOS DOURADOS,MARIA DO CARMO MEDEIROS,VEREADOR,11,NAO
ABADIA DOS DOURADOS,MOZAR PINTO DA SILVA,VEREADOR,21,NAO
ABADIA DOS DOURADOS,NELI ROSA LUZIA,VEREADOR,19,NAO
ABADIA DOS DOURADOS,QUEILA MARCIA PEREIRA,VEREADOR,49,NAO
