NM_VOTAVEL,DS_CARGO,QT_VOTOS
JOSÉ RAMOS DA SILVA SOBRINHO,Vereador,322
MARIA DO ROSARIO PRADO,Vereador,1356
WANDERSON ADAO DIAS,Vereador,767
MARIA TEREZA DA SILVA MACHADO,Vereador,124
DILERMANDO PINHEIRO,Vereador,290
VINÍCIUS MAURÍCIO DA SILVA,Vereador,640
ANTÔNIO DE PÁDUA BARROS,Vereador,322
PAULO CESAR DE ANDRADE,Vereador,312
RODRIGO EDUARDO ORNAGHI,Vereador,110
JAIME DANIEL DOS SANTOS,Vereador,2115
JAIRO LUIZ DE OLIVEIRA,Vereador,241
MARCONI PEREIRA FLORES,Vereador,1125
JEFERSON CORREIA DE FARIA,Vereador,220
MAYSA MARQUES OLIVEIRA BRASILEIRO,Vereador,589
RAFAEL AUGUSTO GOMES,Vereador,1252
MARIA JANDIRA CORREA VELOSO,Vereador,246
ALEXSANDRO DE SOUZA,Vereador,371
DÁRCIO VALÉRIO VIEIRA,Vereador,633
PAULO CESAR SOARES DIAS,Vereador,377
NATALIA CRISTINA DA SILVA,Vereador,649
CLEBER BOSCO PADILHA,Vereador,333
FERNANDO MONTES FERREIRA DA CRUZ,Vereador,1104
EDSON BARBOSA DE PAULA,Vereador,242
REGIS BASSO ANDRADE,Vereador,1536
NATALINO MARTINS DA SILVA,Vereador,536
ISAC MOREIRA MENDES,Vereador,303
CRISTIANO PAULO DA SILVA,Vereador,321
ELIEZER DAMASCENO DE MIRANDA,Vereador,475
AÍRTON DE ASSIS MARQUES,Vereador,104
JORGE RAIMUNDO REZENDE BRAGA,Vereador,257
WALTEMIR RODRIGUES NEVES,Vereador,1972
GIOVANI APARECIDO PEREIRA,Vereador,231
JOSE EUSTAQUIO RIBAS,Vereador,544
WILSON ROBERTO RIBEIRO,Vereador,430
PAULO LUIZ FERREIRA,Vereador,194
RAPHAEL RIOS DE OLIVEIRA,Vereador,2051
IANDER DUTRA DIAS,Vereador,169
CLAUDIO NUNES SIQUEIRA,Vereador,1199
MAIKON SANTIAGO MAIA,Vereador,477
VITOR MARIANO FILHO,Vereador,450
JOÃO PAULO FERREIRA,Vereador,1170
MAYKE KEWIN DE OLIVEIRA,Vereador,518
MÁRCIO MUNIZ ALVES,Vereador,281
GERALDO APARECIDO SANTOS PARANHOS,Vereador,345
EDER SANTANA OLIVEIRA,Vereador,570
GILBERTO LIPPI,Vereador,595
WARLEN SANDRO RIBEIRO GOMES,Vereador,468
CASSIA MENEZES DA SILVA,Vereador,189
ELIVANDER CARLOS SILVA LIMA,Vereador,305
ELSON DE PAULA CUNHA,Vereador,617
DARCI BARRETO DOS SANTOS,Vereador,298
MARIO SÉRGIO PEREIRA,Vereador,745
ZENAIDE DOS SANTOS PEREIRA ROCHA,Vereador,282
DENIS DANIEL PRATES,Vereador,351
FLÁVIO MALUF CALDAS,Vereador,2442
LUCINEI DO ROSARIO CANUTO,Vereador,405
ÁLLAN CARLOS DE CAMPOS,Vereador,479
PAULO HENRIQUE FERREIRA,Vereador,756
JOÃO BATISTA BASTOS,Vereador,341
ERIVALDO BERTO ALEXANDRE,Vereador,264
BRUNO JANEIRO DA SILVA,Vereador,211
DUDA SALABERT ROSA,Vereador,37613
NACIFE SELIM GONÇALVES MENEZES,Vereador,684
EVERTON ELIAS SILVA,Vereador,586
SILVANO ESTEVES DE SOUZA,Vereador,613
ADIVAN FRANCISCO DE OLIVEIRA,Vereador,236
CLECIO ALMEIDA BALIEIRO,Vereador,273
EDUARDO LUCIO ASSIMOS BRAGA,Vereador,3938
GRAZIELA MARCIA DE OLIVEIRA,Vereador,250
JOSÉ ALBERTO MATIAS DA SILVA,Vereador,348
LUCIEN DONIZETE DO AMARAL,Vereador,274
VAILTON DE AMARAL,Vereador,741
JOSE WILKER PEREIRA DE SIQUEIRA,Vereador,227
JEFFERSON CARLEY ANDRADE LEITE,Vereador,850
FERNANDO JOSE CASTRO CABRAL,Vereador,2128
ELIANA MARIA NUNES,Vereador,362
JOSE MAURO GONÇALVES,Vereador,201
ELVIRA MARIA FERREIRA MOTA,Vereador,312
JOÃO PAULO DE FREITAS BOMFIM,Vereador,661
PAULO ROBERTO DE ALMEIDA,Vereador,352
RAFAEL HENRIQUE DA SILVA,Vereador,688
JOAO CELSO DO CARMO,Vereador,410
ANTONIO CARLOS BRANDÃO,Vereador,293
JOELMA APARECIDA RODRIGUES DE MAGALHÃES,Vereador,470
THIAGO JOSE DA ROSA ALMEIDA,Vereador,796
RONYELLE RIBEIRO DE SOUZA,Vereador,400
WELITON MIGUEL DE OLIVEIRA,Vereador,239
LUIS FELIPE SILVA DE ANDRADE,Vereador,445
ALVARO DE LELIS NETO,Vereador,620
ADILSON FRANCISCO DE PAULA,Vereador,576
JOSE APARECIDO DE PINHO,Vereador,220
GUILHERME AUGUSTO BRAGA MORAIS,Vereador,1041
JOSUE DE SOUZA VIDAL,Vereador,270
JOAQUIM ASSIS DOS SANTOS,Vereador,785
MILTON DE SOUZA ARCANJO,Vereador,330
VALÉRIO EUGÊNIO VIANA GONÇALVES,Vereador,234
FLAVIO BALTAZAR GALVÃO,Vereador,629
LUDIMILA LOPO DE CAMPOS CARVALLHO,Vereador,498
CARLOS MACHADO DE PAIVA,Vereador,178
MAÍSA RENATA BATISTA,Vereador,564
LEONEL GOMES LEITE,Vereador,232
ALECSANDER AUGUSTO PEREIRA,Vereador,615
AELCIO VIRGENS SANTOS,Vereador,408
HUGO CEZAR DE LIMA FERREIRA,Vereador,223
RAQUEL ESTEVES DE OLIVEIRA SOBRINHA,Vereador,324
JADSON DO BONSUCESSO RODRIGUES,Vereador,1027
SEBASTIÃO HELENO ZANIRATI,Vereador,253
GILMAR LOPES DE OLIVEIRA,Vereador,313
EMERSON JUNQUEIRA,Vereador,437
RILDO LEÃO PEREIRA,Vereador,174
SILVIO CRISTOVAM DE SOUZA,Vereador,694
MARIAL CANDIDO MURTA JUNIOR,Vereador,360
IAGO FELIPE ANDRADE DE LIMA,Vereador,810
LEANDRO PROCK VALERIO,Vereador,358
EDIVALDO FERNANDES DE AMORIM,Vereador,201
MAIKEL DOS REIS FRANCO,Vereador,745
JOÃO SILVA FILHO,Vereador,523
LAERCIO PEREIRA DE OLIVEIRA,Vereador,258
MARILENA NEVES DOS PASSOS,Vereador,1710
JEAN VITOR DE OLIVEIRA,Vereador,495
PAULO ANTONIO DA SILVA,Vereador,408
ADAMILSON ISAIAS DE JESUS DA COSTA,Vereador,367
KEILA RENATA DOS SANTOS,Vereador,603
CARLOS MAGNO ISIDORO,Vereador,305
JOSÉ REINALDO MOREIRA MESSIAS,Vereador,280
GILMAR DAS CHAGAS SOUSA,Vereador,645
JOSÉ RENATO GONÇALVES LEÃO,Vereador,199
VANDERLEI ROSA GOMES,Vereador,497
LEONARDO DOS SANTOS FERREIRA,Vereador,226
JUVENAL GABRIEL DE VIVEIROS,Vereador,353
MARIA GOMES SANTOS,Vereador,955
LEONARDO SANTOS BERTHOLDI,Vereador,544
LUCIANO CARDOSO REIS,Vereador,360
LETÍCIA BEZERRA DE SOUZA,Vereador,1074
MARIA DOS SANTOS GONÇALVES GOMES,Vereador,194
OLDINEY MENESES LIMA,Vereador,507
MIRIAM SALETE RATTIS BATISTA SANTOS,Vereador,348
ROBSON PEREIRA DE SOUZA,Vereador,369
IRINEU HENRIQUES DE SOUZA FILHO,Vereador,205
ISRAEL LUIZ BAETA ALVES DE SOUZA,Vereador,1098
PATRICK NEIL DRUMOND ALBUQUERQUE,Vereador,566
VALDECI DIONISIO DA SILVA,Vereador,1125
VALTEMIRO PEREIRA FARIAS,Vereador,462
ANDRE MACHADO AZEVEDO,Vereador,404
BRUNA PEREIRA,Vereador,316
ABNER DAVID SILVA,Vereador,821
FABRICIO TEIXEIRA DO PRADO,Vereador,490
ANTÔNIO CLARET PEREIRA,Vereador,435
ANDRÉ LUIS RIBEIRO,Vereador,356
RICARDO DA FONSECA NOGUEIRA,Vereador,673
VOLDINEI CUNHA MENDES,Vereador,860
CRISTIAN REIS LEANDRO,Vereador,727
ALEXANDRE BORGES DE JESUS,Vereador,162
GERALDO LUCAS DE LIMA E SILVA,Vereador,606
ANDERSON DOMINGOS DE MENEZES,Vereador,414
MARCELO DOS REIS,Vereador,329
LUCIANO SIQUEIRA DA SILVA,Vereador,236
PEDRO GONÇALVES FILHO,Vereador,216
JOSE REINALDO DA COSTA,Vereador,248
CORINA ANGÉLICA RIBEIRO GUIMARÃES SANTOS,Vereador,354
GILBERTO MARQUES DE OLIVEIRA,Vereador,1495
GIOVANNI ROSSELIS PEREIRA,Vereador,189
WEBER LOBO NEIVA JÚNIOR,Vereador,232
ATAILDO PEREIRA DOS SANTOS,Vereador,273
ADAO FERNANDES MEIRA,Vereador,272
VIVALDO RODRIGUES DE OLIVEIRA AZEVEDO,Vereador,911
JOSE ROSA FILHO,Vereador,134
WANDERSON HOFMAN DE ALMEIDA,Vereador,589
WENDERSON JACINTO DA SILVA,Vereador,480
GENIVALDO LOPES DE SOUZA,Vereador,411
MARCELO LEMOS DE JESUS,Vereador,339
MARCELO LOPO DE OLIVEIRA,Vereador,488
JOSE HENRIQUE FERREIRA GUMIERO,Vereador,157
JOAQUIM ADILSON ROCHA,Vereador,206
JOSÉ CAETANO MOREIRA,Vereador,290
HONOROALDE CARRIJO SILVERIO,Vereador,347
PEDRO PAULO VIEIRA,Vereador,335
TANCREDO ALADIM ROCHA TOLENTINO,Vereador,865
GERALDO FABIO DA SILVA,Vereador,347
NILSON ROCHA DOS ANJOS,Vereador,437
REGINALDO DA SILVA,Vereador,195
EMANOEL PEREIRA PATENTE,Vereador,237
EMERSON TADEU DA SILVA,Vereador,408
LEANDRO MAURO RESENDE,Vereador,232
ALTIERIS FLAVIO GONÇALVES MACIEL,Vereador,843
AMARILDO LUIZ DE OLIVEIRA,Vereador,181
MARCOS JOSE ABDALA MASCARENHAS,Vereador,206
GILBERTO DA SILVA QUEIROZ,Vereador,841
WESLEY MOREIRA LIMA,Vereador,299
JOAO CARLOS REIS DE CARVALHO,Vereador,447
FERNANDA MICHELE DE OLIVEIRA SILVA,Vereador,395
WENDERSON PEREIRA ARAUJO,Vereador,341
CÉSAR HENRIQUE DA SILVA,Vereador,683
VANDERLEI EUSTAQUIO FERREIRA,Vereador,1481
GUIDO EDVANE PIRES,Vereador,180
RODRIGO ZARA FARIA,Vereador,335
SELMA MARIA VIEIRA ROCHA,Vereador,1774
LUCIANA ANGELICA BICHARA CALHAU TEIXEIRA,Vereador,714
EVERTON APARECIDO TEÓFILO MARQUES,Vereador,125
SILVIA DA CRUZ MESSIAS,Vereador,6414
RANIA PATRICIA FERREIRA GARCIA,Vereador,282
GLEISSON FERREIRA LEITE,Vereador,626
ERIVELTON DOS SANTOS MOREIRA,Vereador,324
JOSMAR MENDES RIGO,Vereador,128
PAULA CRISTINA NUNES GUEDES,Vereador,628
DENYS JUNIOR DE LIMA,Vereador,430
MARCELO RICARDO DE ASSIS FERREIRA,Vereador,1123
Partido da Social Democracia Brasileira,Vereador,1615
FRANCISCO OLIVEIRA FONSECA,Vereador,328
RAFAEL ALBERTO MOURÃO,Vereador,163
JOSÉ DE FÁTIMA APARECIDA CHAVES,Vereador,211
LUIZ HENRIQUE SANTOS,Vereador,208
MARCOS ANTONIO DE SOUZA,Vereador,549
EVALDO JESUS DE SOUZA,Vereador,367
JOSE VICTOR DOS REIS JUNIOR,Vereador,428
JOVELITA MÁXIMO COELHO,Vereador,434
EVAILDO CALDEIRA SANTOS,Vereador,213
ELTON ANTUNES PEIXOTO,Vereador,279
MATHEUS CAIXETA SILVA,Vereador,321
BRUNO MACIEL DE ARANTES,Vereador,583
JOSÉ CARLOS AFONSO,Vereador,298
REGINALDO MENDES,Vereador,309
EMERSON DE SOUZA,Vereador,945
FLÁVIO ROSSATO,Vereador,599
GERALDO LUIS PEREIRA SOBRINHO,Vereador,166
JOÃO GABRIEL DIAS RIBEIRO,Vereador,280
ELIAS RODRIGUES DA SILVA,Vereador,468
LUIZ CARLOS DOS SANTOS,Vereador,297
CARLOS EDUARDO TUPINÁ MARINHO,Vereador,297
JOSÉ HENRIQUE DA SILVA,Vereador,274
THIAGO SIQUEIRA MARQUES,Vereador,439
ANA MARIA SILVA DA TRINDADE,Vereador,327
LERIANE DE SOUZA,Vereador,394
IVANDIR ANTONIO NOGUEIRA,Vereador,471
CLAUDIA MARIA RESENDE,Vereador,329
ALÍPIO FERREIRA DE LIMA FILHO,Vereador,309
WAGNER ALCANTARA ALEXANDRE,Vereador,1121
LUCAS DE PAULA CARVALHO,Vereador,242
LILIA APARECIDA CAETANO,Vereador,388
BARBARA ALVES ALCON,Vereador,493
ELZIANE GREGORIO DA SILVA AMARAL,Vereador,390
GENILSON CAMELO BORGES,Vereador,269
SERGIO HENRIQUE PIRES,Vereador,299
LOHANNA SOUZA FRANÇA MOREIRA DE OLIVEIRA,Vereador,5462
IHAN OLIVEIRA COSTA,Vereador,291
RENATO DOS REIS ROMÃO,Vereador,286
CARLOS SANTOS DIAS,Vereador,432
BRUNNO DA SILVA BRAGA,Vereador,241
