NM_VOTAVEL,DS_CARGO,ANO
ABEL DE MATOS LOPES,DEPUTADO ESTADUAL,2022
ABNER FARIA OLIVEIRA,DEPUTADO ESTADUAL,2022
ADALTO FERREIRA PIRES,DEPUTADO ESTADUAL,2022
ADELMO CARNEIRO LEÃO,DEPUTADO ESTADUAL,2022
ADRIANA CRISTINA ARAÚJO,DEPUTADO ESTADUAL,2022
ADRIANA CRISTINA FABIANO DE SOUZA,DEPUTADO ESTADUAL,2022
ADRIANA MARIA TEIXEIRA RESENDE,DEPUTADO ESTADUAL,2022
ADRIANO DE ALMEIDA ALVARENGA,DEPUTADO ESTADUAL,2022
ADRIANO ROGERIO DOMICIANO,DEPUTADO ESTADUAL,2022
ADRIANO ZAGO,DEPUTADO FEDERAL,2022
AELTON JOSE DE FREITAS,DEPUTADO FEDERAL,2022
ALANDERSON DAMASCENO GOMIDE,DEPUTADO FEDERAL,2022
ALESSANDRA DINIZ PORTELA SILVEIRA,DEPUTADO ESTADUAL,2022
ALESSANDRO MARQUES,DEPUTADO FEDERAL,2022
ALESSANDRO SILVA TOMAZ,DEPUTADO ESTADUAL,2022
ALEXANDRE KALIL,GOVERNADOR,2022
ALEXANDRE MARCOS DE MOURA,DEPUTADO FEDERAL,2022
ALEXANDRE SILVA COUTINHO,DEPUTADO ESTADUAL,2022
ALEXANDRE SILVEIRA DE OLIVEIRA,SENADOR,2022
ALEXSANDRO FERREIRA SOUZA,DEPUTADO ESTADUAL,2022
ALTAMIRO ALVES DA SILVA,SENADOR,2022
AMANDA BEATRIZ FOLTRAN,DEPUTADO FEDERAL,2022
AMANDA CAROLINE TEIXEIRA DIAS,DEPUTADO ESTADUAL,2022
ANA CRISTINA DE LIMA PIMENTEL,DEPUTADO FEDERAL,2022
ANA MARIA SOARES VALENTINI,DEPUTADO FEDERAL,2022
ANA PAULA PROCOPIO JUNQUEIRA,DEPUTADO FEDERAL,2022
ANDERSON BRITO PEREIRA,DEPUTADO FEDERAL,2022
ANDERSON CARLOS DA SILVA,DEPUTADO ESTADUAL,2022
ANDERSON LIMA DA SILVA,DEPUTADO ESTADUAL,2022
ANDERSON LUÍS COELHO,DEPUTADO FEDERAL,2022
ANDRE DE MELO FERREIRA,DEPUTADO ESTADUAL,2022
ANDRE LUIS GASPAR JANONES,DEPUTADO FEDERAL,2022
ANDRE LUIS MALAQUIAS,DEPUTADO ESTADUAL,2022
ANDRE SOL ROCHA MENDES,DEPUTADO ESTADUAL,2022
ANDREIA DE JESUS SILVA,DEPUTADO ESTADUAL,2022
ANELENA MORETTO SALOMÃO,DEPUTADO FEDERAL,2022
ANTONIO PINHEIRO NETO,DEPUTADO FEDERAL,2022
ANTÔNIO MARCOS COLDIBELLI FRANCISCO,DEPUTADO FEDERAL,2022
ARLEN DE PAULO SANTIAGO FILHO,DEPUTADO ESTADUAL,2022
ARNALDO GONTIJO DE FREITAS,DEPUTADO FEDERAL,2022
ARNALDO SILVA JÚNIOR,DEPUTADO ESTADUAL,2022
AVANTE,DEPUTADO ESTADUAL,2022
AVANTE,DEPUTADO FEDERAL,2022
AÉCIO NEVES DA CUNHA,DEPUTADO FEDERAL,2022
BARBARA LUCIA PINHEIRO DE OLIVEIRA FRANÇA,DEPUTADO FEDERAL,2022
